Trial #,SVC - accuracy,SVC - balanced accuracy,SVC - f1 score,SVC - jaccard score,GradientBoosting - accuracy,GradientBoosting - balanced accuracy,GradientBoosting - f1 score,GradientBoosting - jaccard score,GaussianNB - accuracy,GaussianNB - balanced accuracy,GaussianNB - f1 score,GaussianNB - jaccard score,DecisionTree - accuracy,DecisionTree - balanced accuracy,DecisionTree - f1 score,DecisionTree - jaccard score,KNeighbors - accuracy,KNeighbors - balanced accuracy,KNeighbors - f1 score,KNeighbors - jaccard score,AdaBoost - accuracy,AdaBoost - balanced accuracy,AdaBoost - f1 score,AdaBoost - jaccard score,RandomForest - accuracy,RandomForest - balanced accuracy,RandomForest - f1 score,RandomForest - jaccard score,MLP - accuracy,MLP - balanced accuracy,MLP - f1 score,MLP - jaccard score,QuadraticDiscriminantAnalysis - accuracy,QuadraticDiscriminantAnalysis - balanced accuracy,QuadraticDiscriminantAnalysis - f1 score,QuadraticDiscriminantAnalysis - jaccard score,CatBoost - accuracy,CatBoost - balanced accuracy,CatBoost - f1 score,CatBoost - jaccard score,ExtraTrees - accuracy,ExtraTrees - balanced accuracy,ExtraTrees - f1 score,ExtraTrees - jaccard score,Bagging - accuracy,Bagging - balanced accuracy,Bagging - f1 score,Bagging - jaccard score,Ridge - accuracy,Ridge - balanced accuracy,Ridge - f1 score,Ridge - jaccard score,PassiveAggressive - accuracy,PassiveAggressive - balanced accuracy,PassiveAggressive - f1 score,PassiveAggressive - jaccard score,SGDOneClassSVM - accuracy,SGDOneClassSVM - balanced accuracy,SGDOneClassSVM - f1 score,SGDOneClassSVM - jaccard score,Dummy - accuracy,Dummy - balanced accuracy,Dummy - f1 score,Dummy - jaccard score,HistGradientBoosting - accuracy,HistGradientBoosting - balanced accuracy,HistGradientBoosting - f1 score,HistGradientBoosting - jaccard score
0,0.9836065573770492,0.9888888888888889,0.9837628448790725,0.9681774349083896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688524590163934,0.8605769230769231,0.8747445949156568,0.7843658326143227,1.0,1.0,1.0,1.0,0.7704918032786885,0.8793103448275862,0.8350691096110574,0.7299903567984571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6721311475409836,0.35344827586206895,0.7643844423015108,0.6390755173340499,0.7213114754098361,0.7213114754098361,0.8380952380952381,0.7213114754098361,1.0,1.0,1.0,1.0
1,0.9672131147540983,0.975,0.9675379265543198,0.9372772630078403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8852459016393442,0.9024547803617571,0.8887013095996171,0.8017883755588674,1.0,1.0,1.0,1.0,0.6229508196721312,0.6229508196721312,0.7676767676767677,0.6229508196721312,1.0,1.0,1.0,1.0,0.9836065573770492,0.9791666666666667,0.9835414486687594,0.9676445211389129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5901639344262295,0.3103448275862069,0.7131147540983607,0.5704918032786884,0.6229508196721312,0.6229508196721312,0.7676767676767677,0.6229508196721312,1.0,1.0,1.0,1.0
2,0.9836065573770492,0.9888888888888889,0.9837628448790725,0.9681774349083896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9016393442622951,0.8898550724637682,0.9036202185792349,0.8280845556514237,1.0,1.0,1.0,1.0,0.819672131147541,0.8431603773584906,0.843765421666385,0.7428658166363085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6065573770491803,0.40217391304347827,0.6200364298724954,0.5264460253634394,0.7213114754098361,0.7213114754098361,0.8380952380952381,0.7213114754098361,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.830749354005168,0.8535849253303448,0.7495488391137531,1.0,1.0,1.0,1.0,0.7704918032786885,0.875,0.8210382513661203,0.7100949094046592,1.0,1.0,1.0,1.0,0.9836065573770492,0.975,0.9834951407141806,0.9676034348165496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4918032786885246,0.3333333333333333,0.5087620124364047,0.3882657463330457,0.6885245901639344,0.6885245901639344,0.8155339805825244,0.6885245901639344,1.0,1.0,1.0,1.0
4,0.9672131147540983,0.9761904761904762,0.9676329468212715,0.9375487900078064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.8390243902439025,0.8533475498689413,0.7475409836065575,1.0,1.0,1.0,1.0,0.6885245901639344,0.7171052631578947,0.7671319925637993,0.6372629631532968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5409836065573771,0.3173076923076923,0.6115466856735566,0.47679911086412885,0.6557377049180327,0.6557377049180327,0.7920792079207921,0.6557377049180327,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9180327868852459,0.9251336898395721,0.9199093017800828,0.8534998698933125,1.0,1.0,1.0,1.0,0.7049180327868853,0.7258771929824561,0.7791903646704582,0.653799563918275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5573770491803278,0.34,0.6125022518465143,0.4889272361230946,0.6721311475409836,0.6721311475409836,0.8039215686274509,0.6721311475409836,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9016393442622951,0.8930555555555555,0.9034145700008768,0.8271363794907569,1.0,1.0,1.0,1.0,0.7377049180327869,0.8644067796610169,0.822050787528126,0.7085610200364298,1.0,1.0,1.0,1.0,0.9836065573770492,0.9736842105263157,0.9834814563840599,0.9675943576057948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.639344262295082,0.36792452830188677,0.7059426229508196,0.5944779982743744,0.7049180327868853,0.7049180327868853,0.8269230769230769,0.7049180327868853,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836065573770492,0.99,0.9838801413997422,0.9685792349726775,1.0,1.0,1.0,1.0,0.8688524590163934,0.8183962264150944,0.8793956927033107,0.7986800085160741,1.0,1.0,1.0,1.0,0.9836065573770492,0.9615384615384616,0.9833631908061519,0.9675476748076279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.639344262295082,0.3979591836734694,0.639344262295082,0.5309808280077799,0.8032786885245902,0.8032786885245902,0.8909090909090909,0.8032786885245902,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9508196721311475,0.9398809523809524,0.9505234943059813,0.9062167340855866,1.0,1.0,1.0,1.0,0.6885245901639344,0.8416666666666667,0.8001329406945379,0.6729508196721311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5573770491803278,0.3695652173913043,0.5894102129263237,0.48376121249613363,0.6721311475409836,0.6721311475409836,0.8039215686274509,0.6721311475409836,1.0,1.0,1.0,1.0
9,0.9672131147540983,0.9767441860465116,0.9676856074612763,0.9377049180327869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9016393442622951,0.9131944444444444,0.9048163680264328,0.8288361673963955,1.0,1.0,1.0,1.0,0.6885245901639344,0.8416666666666667,0.8001329406945379,0.6729508196721311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5737704918032787,0.3431372549019608,0.6361368496079829,0.5133735979292494,0.6721311475409836,0.6721311475409836,0.8039215686274509,0.6721311475409836,1.0,1.0,1.0,1.0
