Trial #,SVC - VHD - accuracy,SVC - Cath - accuracy,SVC - VHD - balanced accuracy,SVC - Cath - balanced accuracy,SVC - VHD - f1 score,SVC - Cath - f1 score,SVC - VHD - jaccard score,SVC - Cath - jaccard score,GradientBoosting - VHD - accuracy,GradientBoosting - Cath - accuracy,GradientBoosting - VHD - balanced accuracy,GradientBoosting - Cath - balanced accuracy,GradientBoosting - VHD - f1 score,GradientBoosting - Cath - f1 score,GradientBoosting - VHD - jaccard score,GradientBoosting - Cath - jaccard score,GaussianNB - VHD - accuracy,GaussianNB - Cath - accuracy,GaussianNB - VHD - balanced accuracy,GaussianNB - Cath - balanced accuracy,GaussianNB - VHD - f1 score,GaussianNB - Cath - f1 score,GaussianNB - VHD - jaccard score,GaussianNB - Cath - jaccard score,DecisionTree - VHD - accuracy,DecisionTree - Cath - accuracy,DecisionTree - VHD - balanced accuracy,DecisionTree - Cath - balanced accuracy,DecisionTree - VHD - f1 score,DecisionTree - Cath - f1 score,DecisionTree - VHD - jaccard score,DecisionTree - Cath - jaccard score,KNeighbors - VHD - accuracy,KNeighbors - Cath - accuracy,KNeighbors - VHD - balanced accuracy,KNeighbors - Cath - balanced accuracy,KNeighbors - VHD - f1 score,KNeighbors - Cath - f1 score,KNeighbors - VHD - jaccard score,KNeighbors - Cath - jaccard score,AdaBoost - VHD - accuracy,AdaBoost - Cath - accuracy,AdaBoost - VHD - balanced accuracy,AdaBoost - Cath - balanced accuracy,AdaBoost - VHD - f1 score,AdaBoost - Cath - f1 score,AdaBoost - VHD - jaccard score,AdaBoost - Cath - jaccard score,RandomForest - VHD - accuracy,RandomForest - Cath - accuracy,RandomForest - VHD - balanced accuracy,RandomForest - Cath - balanced accuracy,RandomForest - VHD - f1 score,RandomForest - Cath - f1 score,RandomForest - VHD - jaccard score,RandomForest - Cath - jaccard score,MLPClassifier - VHD - accuracy,MLPClassifier - Cath - accuracy,MLPClassifier - VHD - balanced accuracy,MLPClassifier - Cath - balanced accuracy,MLPClassifier - VHD - f1 score,MLPClassifier - Cath - f1 score,MLPClassifier - VHD - jaccard score,MLPClassifier - Cath - jaccard score,QuadraticDiscriminantAnalysis - VHD - accuracy,QuadraticDiscriminantAnalysis - Cath - accuracy,QuadraticDiscriminantAnalysis - VHD - balanced accuracy,QuadraticDiscriminantAnalysis - Cath - balanced accuracy,QuadraticDiscriminantAnalysis - VHD - f1 score,QuadraticDiscriminantAnalysis - Cath - f1 score,QuadraticDiscriminantAnalysis - VHD - jaccard score,QuadraticDiscriminantAnalysis - Cath - jaccard score
0,0.5081967213114754,0.7213114754098361,0.5081967213114754,0.7213114754098361,0.673913043478261,0.8380952380952381,0.5081967213114754,0.7213114754098361,0.4262295081967213,0.639344262295082,0.2807017543859649,0.4668803418803419,0.4594915656925636,0.6798024379991593,0.3126672800267648,0.5468880244512365,0.2786885245901639,0.6557377049180327,0.2628299120234604,0.4834905660377358,0.2581885213101634,0.701733986817644,0.15163934426229508,0.5710040228565907,0.4426229508196721,0.7049180327868853,0.2393465909090909,0.6161858974358975,0.45716316647943994,0.7181753385602283,0.31395926477893693,0.5826378539493293,0.4098360655737705,0.639344262295082,0.4035560344827586,0.4668803418803419,0.44158209731980225,0.6798024379991593,0.28895224518888096,0.5468880244512365,0.45901639344262296,0.6229508196721312,0.28934659090909093,0.4529411764705883,0.4697735069586329,0.6579362796791615,0.3207898658718331,0.5232564601278133,0.4426229508196721,0.7049180327868853,0.26568466993998907,0.35833333333333334,0.5076712904581757,0.8133669609079446,0.3526506280604641,0.6933619994625101,0.5245901639344263,0.6557377049180327,0.5589285714285714,0.43787878787878787,0.6325136612021857,0.718935614160133,0.4707259953161593,0.5905365126676603,0.4262295081967213,0.5081967213114754,0.2866666666666667,0.4122807017543859,0.45921128052275595,0.500254161901131,0.3027907884465261,0.3607071278071844
1,0.47540983606557374,0.639344262295082,0.47540983606557374,0.639344262295082,0.6444444444444446,0.78,0.47540983606557374,0.639344262295082,0.45901639344262296,0.5409836065573771,0.2578125,0.4673611111111111,0.46121209695403315,0.5608283002588438,0.312882927637026,0.40859413810233486,0.18032786885245902,0.6229508196721312,0.24591503267973855,0.5214285714285715,0.18730902196944352,0.7079155082606334,0.11106557377049181,0.5667129758266185,0.4918032786885246,0.5409836065573771,0.36335125448028666,0.48062015503875966,0.49674361547897844,0.5527389044382247,0.34299148557631204,0.3981239589725607,0.47540983606557374,0.6885245901639344,0.4642857142857143,0.6618589743589745,0.5148491328106438,0.7124606315109424,0.351387520005787,0.567939421017058,0.4262295081967213,0.639344262295082,0.22634271099744246,0.5867346938775511,0.440215977101223,0.6718900675024108,0.28896884695170083,0.5241217798594847,0.47540983606557374,0.6229508196721312,0.32575757575757575,0.31666666666666665,0.5173601792159848,0.7550919026328861,0.3548855516068631,0.612738511152916,0.45901639344262296,0.639344262295082,0.45611111111111113,0.639344262295082,0.4890290037831021,0.78,0.3246111811685582,0.639344262295082,0.01639344262295082,0.6885245901639344,0.01639344262295082,0.7392857142857143,0.03225806451612903,0.7587128111718277,0.01639344262295082,0.6262770254217153
2,0.3770491803278688,0.7213114754098361,0.3770491803278688,0.7213114754098361,0.5476190476190476,0.8380952380952381,0.3770491803278688,0.7213114754098361,0.32786885245901637,0.6229508196721312,0.18803418803418803,0.5045592705167173,0.34584875727128506,0.6349800384702554,0.2124590163934426,0.49359281628479207,0.3770491803278688,0.7213114754098361,0.37063492063492065,0.6273584905660378,0.40244873837298945,0.7585465607571407,0.279829460157329,0.6347015078680307,0.3442622950819672,0.5409836065573771,0.19696969696969696,0.46904761904761905,0.3512430192758061,0.5277538107563992,0.21811085089773613,0.3800298062593145,0.4918032786885246,0.7213114754098361,0.3414351851851852,0.6273584905660378,0.5190995372186054,0.7585465607571407,0.3548009367681499,0.6347015078680307,0.3442622950819672,0.6721311475409836,0.21594827586206897,0.503968253968254,0.337452711223203,0.7237091557934648,0.21459416233506598,0.5955947359114905,0.3114754098360656,0.7213114754098361,0.1851851851851852,0.7213114754098361,0.39927064517228456,0.8380952380952381,0.2573280787258354,0.7213114754098361,0.3770491803278688,0.7213114754098361,0.4342105263157895,0.7213114754098361,0.49828833172613307,0.8380952380952381,0.3366907474298416,0.7213114754098361,0.3114754098360656,0.639344262295082,0.16666666666666666,0.49636363636363634,0.4438524590163934,0.6664756589765309,0.29105079279763507,0.5304013566986998
3,0.5245901639344263,0.6721311475409836,0.5245901639344263,0.6721311475409836,0.6881720430107526,0.8039215686274509,0.5245901639344263,0.6721311475409836,0.4426229508196721,0.5737704918032787,0.28959677419354835,0.45153061224489793,0.449207480568849,0.6081056466302367,0.29569840688871335,0.4635387224420577,0.2786885245901639,0.6885245901639344,0.2869397759103641,0.6335470085470085,0.23980554130233395,0.7291769239653046,0.14013545161086147,0.5939695550351287,0.29508196721311475,0.5245901639344263,0.1856060606060606,0.46785714285714286,0.2862021857923497,0.521727111624486,0.17427490542244642,0.36900149031296575,0.39344262295081966,0.5409836065573771,0.20650921658986177,0.42629179331306993,0.40542244640605296,0.565836766897519,0.25937222010420635,0.42074071372563326,0.36065573770491804,0.5901639344262295,0.28329248366013077,0.43803418803418803,0.36050347662792465,0.6436538473227691,0.2348273456574817,0.5021765305177365,0.4262295081967213,0.6721311475409836,0.2719298245614035,0.5889830508474576,0.4577413479052823,0.7767511177347242,0.3071730583784586,0.6463700234192037,0.5409836065573771,0.6721311475409836,0.5255102040816326,0.5889830508474576,0.6070541480377546,0.7767511177347242,0.4453551912568306,0.6463700234192037,0.45901639344262296,0.6065573770491803,0.3888888888888889,0.5034013605442177,0.4650237850258151,0.6382513661202186,0.30753017474328953,0.493159127326513
4,0.45901639344262296,0.6885245901639344,0.45901639344262296,0.6885245901639344,0.6292134831460674,0.8155339805825244,0.45901639344262296,0.6885245901639344,0.4426229508196721,0.5737704918032787,0.2272727272727273,0.4879679144385026,0.4700906871294036,0.5806540432922439,0.3163521776644034,0.43136662385736946,0.22950819672131148,0.5901639344262295,0.29767628205128205,0.461734693877551,0.19131096787291274,0.6206728226823415,0.10813492063492064,0.4781151578777356,0.4098360655737705,0.4918032786885246,0.34468022399056886,0.4341491841491842,0.4170769256796765,0.48262176610837154,0.26768489221647496,0.335512620348686,0.5081967213114754,0.5245901639344263,0.5070043103448276,0.3579931972789116,0.5437765634486946,0.5599804743115161,0.3737895539458635,0.4215846994535519,0.4098360655737705,0.639344262295082,0.3280423280423281,0.546474358974359,0.41047147032659803,0.6611338797814209,0.2687220566318927,0.517217451643681,0.4262295081967213,0.6557377049180327,0.28548644338118023,0.5121212121212121,0.4590375326336261,0.7221767787730269,0.3015442587733972,0.5892699662949853,0.45901639344262296,0.6885245901639344,0.47549019607843135,0.6885245901639344,0.5336613998162038,0.8155339805825244,0.3707064793130367,0.6885245901639344,0.39344262295081966,0.6065573770491803,0.3185668498168498,0.49759615384615385,0.3889124320037669,0.6303278688524591,0.24455697797040574,0.4860101072353014
5,0.5409836065573771,0.639344262295082,0.7666666666666666,0.639344262295082,0.685809320164274,0.78,0.5254098360655737,0.639344262295082,0.3442622950819672,0.639344262295082,0.23518518518518516,0.5801886792452831,0.34329275862680536,0.6960560703254929,0.21165557931416804,0.5536824406539679,0.22950819672131148,0.639344262295082,0.3286541889483066,0.639344262295082,0.22879017006323638,0.78,0.1306965044669963,0.639344262295082,0.36065573770491804,0.5409836065573771,0.2235023041474654,0.4920731707317073,0.3551851919239703,0.546174863387978,0.22471011595361856,0.38919247115968425,0.4918032786885246,0.6557377049180327,0.49622844827586204,0.6190476190476191,0.5272776135447461,0.7170079687813417,0.3585444610034774,0.5774633304572907,0.2786885245901639,0.639344262295082,0.21924603174603174,0.5772727272727273,0.2676407697790449,0.7116946534456126,0.16053345561542284,0.5714414923685699,0.3770491803278688,0.639344262295082,0.3622222222222222,0.639344262295082,0.40522875816993464,0.78,0.25708502024291496,0.639344262295082,0.3770491803278688,0.639344262295082,0.3543123543123543,0.639344262295082,0.4092093544875813,0.78,0.26138433515482695,0.639344262295082,0.2786885245901639,0.5901639344262295,0.21523809523809523,0.4839743589743589,0.2824273799252229,0.6468232983304373,0.16864754098360657,0.5008277477186466
6,0.5081967213114754,0.7704918032786885,0.5081967213114754,0.7704918032786885,0.673913043478261,0.8703703703703703,0.5081967213114754,0.7704918032786885,0.4098360655737705,0.6229508196721312,0.21661367249602542,0.41545454545454547,0.4205259072841452,0.6397431130640527,0.2829708932753429,0.5129781420765027,0.16393442622950818,0.7049180327868853,0.22077922077922077,0.46515151515151515,0.11538559179502803,0.7523625843780134,0.06417072810515434,0.6363244176013805,0.5081967213114754,0.5409836065573771,0.3887987012987013,0.38680555555555557,0.4981621303824331,0.5306723687336661,0.33969893367529663,0.4024872809496891,0.5245901639344263,0.7049180327868853,0.5180076628352491,0.542156862745098,0.531407754358574,0.7234861157577785,0.3651491784238685,0.6000161511749981,0.4098360655737705,0.7049180327868853,0.2792207792207792,0.46515151515151515,0.39429520886372105,0.7523625843780134,0.2536948856820908,0.6363244176013805,0.5081967213114754,0.7540983606557377,0.4736394557823129,0.38333333333333336,0.576775956284153,0.8457177876512947,0.4184930567796776,0.7417360924482665,0.4918032786885246,0.7377049180327869,0.48592342342342343,0.3813559322033898,0.5192864030858245,0.8212186823383855,0.3521651460761531,0.7135178715399086,0.01639344262295082,0.5901639344262295,0.01639344262295082,0.4030448717948718,0.03225806451612903,0.5955964592720416,0.01639344262295082,0.4672131147540984
7,0.5081967213114754,0.6557377049180327,0.5081967213114754,0.6557377049180327,0.673913043478261,0.7920792079207921,0.5081967213114754,0.6557377049180327,0.5573770491803278,0.6229508196721312,0.29450757575757575,0.5176886792452831,0.5726696023718172,0.6811089431487323,0.4146352402951268,0.539439926946993,0.26229508196721313,0.639344262295082,0.2944281524926686,0.325,0.19976426722544063,0.7672131147540985,0.12276238929715469,0.6288632088148347,0.5081967213114754,0.6065573770491803,0.28240740740740744,0.5467914438502673,0.5114776266640064,0.617897202021447,0.3572084679641657,0.46365826429284923,0.45901639344262296,0.639344262295082,0.3137480798771121,0.5303571428571429,0.4766955962712954,0.7202606137032366,0.3182149362477231,0.582546077614152,0.32786885245901637,0.6229508196721312,0.1820689655172414,0.4939393939393939,0.32554644808743166,0.6979196625443389,0.20146834883068052,0.5580216726868574,0.4918032786885246,0.6557377049180327,0.4672459893048128,0.6557377049180327,0.5399453551912569,0.7920792079207921,0.3781573617639191,0.6557377049180327,0.4426229508196721,0.6557377049180327,0.4582379862700229,0.6557377049180327,0.4739466690555108,0.7920792079207921,0.31086447408614193,0.6557377049180327,0.01639344262295082,0.5901639344262295,0.01639344262295082,0.4015151515151515,0.03225806451612903,0.6716518071134119,0.01639344262295082,0.5297393862967634
8,0.39344262295081966,0.6721311475409836,0.39344262295081966,0.6721311475409836,0.5647058823529412,0.8039215686274509,0.39344262295081966,0.6721311475409836,0.45901639344262296,0.5737704918032787,0.36606002554278416,0.5038759689922481,0.4748530776368698,0.5799128969965898,0.3181553874176825,0.42701192250372577,0.3770491803278688,0.639344262295082,0.5488445378151261,0.4583333333333333,0.3065472362140792,0.7301215568194492,0.19475409836065574,0.5946543121881682,0.5901639344262295,0.5573770491803278,0.5511904761904762,0.45942028985507244,0.619838267379251,0.5762739239279658,0.45860409589917783,0.42862311781569207,0.4426229508196721,0.639344262295082,0.4361111111111111,0.503030303030303,0.49514625522340083,0.7101460697772172,0.33328064123187934,0.5736315643234232,0.3442622950819672,0.6065573770491803,0.22518939393939394,0.5034013605442177,0.3520036429872495,0.6382513661202186,0.21778155762143564,0.493159127326513,0.36065573770491804,0.6721311475409836,0.35034013605442177,0.6721311475409836,0.4375524483789758,0.8039215686274509,0.2860348908564916,0.6721311475409836,0.45901639344262296,0.6885245901639344,0.5374149659863945,0.8416666666666667,0.5229827319252544,0.8001329406945379,0.35558304979894834,0.6729508196721311,0.47540983606557374,0.5901639344262295,0.33132045088566825,0.39550264550264547,0.5161740382776197,0.6607867574217876,0.3522248243559719,0.5208070617906684
9,0.5081967213114754,0.7704918032786885,0.5081967213114754,0.7704918032786885,0.673913043478261,0.8703703703703703,0.5081967213114754,0.7704918032786885,0.4426229508196721,0.6721311475409836,0.225,0.48235294117647054,0.467976784441503,0.692762350841976,0.3138669238187078,0.5675566445224683,0.26229508196721313,0.5737704918032787,0.3270884520884521,0.4982517482517483,0.21090944574551132,0.5462362858474182,0.1219686417372049,0.40067613507592353,0.29508196721311475,0.4918032786885246,0.19821428571428573,0.4204805491990847,0.30602633271333235,0.45690010164455686,0.18849306431273644,0.32326339241179797,0.3770491803278688,0.6557377049180327,0.24074074074074073,0.4305555555555556,0.4021233816661524,0.6844640273008057,0.259672131147541,0.5608047690014903,0.29508196721311475,0.6885245901639344,0.2132936507936508,0.375,0.2978725502280291,0.7486869329937929,0.17694098831055813,0.6320881483472184,0.4426229508196721,0.7704918032786885,0.3970588235294118,0.7704918032786885,0.4946279949558638,0.8703703703703703,0.34039591710485617,0.7704918032786885,0.5081967213114754,0.7704918032786885,0.48541666666666666,0.6398305084745763,0.5625539257981017,0.8435663470460872,0.39970711467274134,0.7437158469945355,0.3770491803278688,0.5409836065573771,0.3253189073665932,0.44085365853658537,0.3836878945137529,0.516130446217235,0.23998577353514447,0.37938328561789963
