Trial #,SVC - accuracy,SVC - balanced accuracy,SVC - precision,SVC - time to fit,GradientBoosting - accuracy,GradientBoosting - balanced accuracy,GradientBoosting - precision,GradientBoosting - time to fit,GaussianNB - accuracy,GaussianNB - balanced accuracy,GaussianNB - precision,GaussianNB - time to fit,DecisionTree - accuracy,DecisionTree - balanced accuracy,DecisionTree - precision,DecisionTree - time to fit,KNeighbors - accuracy,KNeighbors - balanced accuracy,KNeighbors - precision,KNeighbors - time to fit,AdaBoost - accuracy,AdaBoost - balanced accuracy,AdaBoost - precision,AdaBoost - time to fit,RandomForest - accuracy,RandomForest - balanced accuracy,RandomForest - precision,RandomForest - time to fit,MLP - accuracy,MLP - balanced accuracy,MLP - precision,MLP - time to fit,QDA - accuracy,QDA - balanced accuracy,QDA - precision,QDA - time to fit,CatBoost - accuracy,CatBoost - balanced accuracy,CatBoost - precision,CatBoost - time to fit,ExtraTrees - accuracy,ExtraTrees - balanced accuracy,ExtraTrees - precision,ExtraTrees - time to fit,Bagging - accuracy,Bagging - balanced accuracy,Bagging - precision,Bagging - time to fit,Ridge - accuracy,Ridge - balanced accuracy,Ridge - precision,Ridge - time to fit,PassiveAggressive - accuracy,PassiveAggressive - balanced accuracy,PassiveAggressive - precision,PassiveAggressive - time to fit,SGDOneClassSVM - accuracy,SGDOneClassSVM - balanced accuracy,SGDOneClassSVM - precision,SGDOneClassSVM - time to fit,Dummy - accuracy,Dummy - balanced accuracy,Dummy - precision,Dummy - time to fit,HistGradientBoosting - accuracy,HistGradientBoosting - balanced accuracy,HistGradientBoosting - precision,HistGradientBoosting - time to fit,XGB - accuracy,XGB - balanced accuracy,XGB - precision,XGB - time to fit,LGBM - accuracy,LGBM - balanced accuracy,LGBM - precision,LGBM - time to fit
0,0.9836065573770492,0.9875,0.9843517138599106,2515791,1.0,1.0,1.0,18632417,1.0,1.0,1.0,814750,1.0,1.0,1.0,931583,0.9180327868852459,0.9148809523809525,0.9194275669685505,564250,1.0,1.0,1.0,1834959,0.8032786885245902,0.8823529411764706,0.910581222056632,5297667,1.0,1.0,1.0,1340501208,1.0,1.0,1.0,54877541,1.0,1.0,1.0,201258000,1.0,1.0,1.0,40364000,1.0,1.0,1.0,8429167,1.0,1.0,1.0,102492167,1.0,1.0,1.0,8789792,0.5081967213114754,0.32978723404255317,0.612442202606137,838167,0.639344262295082,0.639344262295082,1.0,90000,1.0,1.0,1.0,289130041,1.0,1.0,1.0,138429542,1.0,1.0,1.0,137707833
1,1.0,1.0,1.0,2594500,1.0,1.0,1.0,17793750,1.0,1.0,1.0,786959,1.0,1.0,1.0,875000,0.9344262295081968,0.921188630490956,0.9344262295081968,611125,1.0,1.0,1.0,1397458,0.819672131147541,0.8981481481481481,0.9298724954462659,5020917,1.0,1.0,1.0,1822347042,1.0,1.0,1.0,23475792,1.0,1.0,1.0,16557916,1.0,1.0,1.0,54345209,1.0,1.0,1.0,8290166,1.0,1.0,1.0,296015708,1.0,1.0,1.0,1313208,0.5901639344262295,0.36,0.6862371330537553,782958,0.7049180327868853,0.7049180327868853,1.0,79083,1.0,1.0,1.0,372784709,1.0,1.0,1.0,96296875,1.0,1.0,1.0,127702125
2,1.0,1.0,1.0,2396292,1.0,1.0,1.0,17642125,1.0,1.0,1.0,759417,1.0,1.0,1.0,875791,0.9180327868852459,0.8828320802005012,0.9193306010928961,596125,1.0,1.0,1.0,1433583,0.8524590163934426,0.8675213675213675,0.9072859744990892,4979541,1.0,1.0,1.0,1096381542,0.9836065573770492,0.9705882352941176,0.9839708561020036,14414167,1.0,1.0,1.0,11907792,1.0,1.0,1.0,31244458,1.0,1.0,1.0,13776416,1.0,1.0,1.0,123225000,1.0,1.0,1.0,1277125,0.639344262295082,0.3979591836734694,0.6961748633879782,731458,0.7377049180327869,0.7377049180327869,1.0,87584,1.0,1.0,1.0,236988250,1.0,1.0,1.0,56032583,1.0,1.0,1.0,134372041
3,1.0,1.0,1.0,2419542,1.0,1.0,1.0,17503541,1.0,1.0,1.0,735542,1.0,1.0,1.0,957167,0.9180327868852459,0.8828320802005012,0.9193306010928961,605208,1.0,1.0,1.0,1448417,0.8688524590163934,0.9245283018867925,0.9344262295081968,5075750,1.0,1.0,1.0,680417042,0.9836065573770492,0.9705882352941176,0.9839708561020036,6536875,1.0,1.0,1.0,20207458,1.0,1.0,1.0,31106500,1.0,1.0,1.0,8138000,1.0,1.0,1.0,63825000,1.0,1.0,1.0,1202125,0.5901639344262295,0.35294117647058826,0.6688524590163936,88023250,0.7377049180327869,0.7377049180327869,1.0,107167,1.0,1.0,1.0,147362750,1.0,1.0,1.0,53677000,1.0,1.0,1.0,136966917
4,0.9836065573770492,0.9883720930232558,0.9844693701466782,2473375,1.0,1.0,1.0,17993458,1.0,1.0,1.0,704166,1.0,1.0,1.0,872750,0.9508196721311475,0.9378048780487804,0.9507374994864208,557416,1.0,1.0,1.0,1425833,0.7868852459016393,0.8818181818181818,0.9327006039689387,4946250,0.9836065573770492,0.9883720930232558,0.9844693701466782,817178667,1.0,1.0,1.0,5688084,1.0,1.0,1.0,15929042,0.9836065573770492,0.9883720930232558,0.9844693701466782,30709292,1.0,1.0,1.0,8288250,1.0,1.0,1.0,148313500,0.9836065573770492,0.9883720930232558,0.9844693701466782,1131625,0.5737704918032787,0.330188679245283,0.7240437158469946,5531917,0.6885245901639344,0.6885245901639344,1.0,79750,1.0,1.0,1.0,281670167,1.0,1.0,1.0,96920834,1.0,1.0,1.0,123397334
5,0.9836065573770492,0.9891304347826086,0.9846311475409836,2596625,1.0,1.0,1.0,18419042,1.0,1.0,1.0,730583,1.0,1.0,1.0,923750,0.9508196721311475,0.9298128342245989,0.950523679417122,679666,1.0,1.0,1.0,1488417,0.819672131147541,0.8359788359788359,0.9086065573770491,5118875,1.0,1.0,1.0,674038625,0.9836065573770492,0.9705882352941176,0.9839708561020036,8326000,1.0,1.0,1.0,20197209,1.0,1.0,1.0,31283667,1.0,1.0,1.0,8457083,1.0,1.0,1.0,274253792,1.0,1.0,1.0,2660708,0.6557377049180327,0.36363636363636365,0.8014571948998178,909250,0.7377049180327869,0.7377049180327869,1.0,75709,1.0,1.0,1.0,315767792,1.0,1.0,1.0,122275000,1.0,1.0,1.0,135095542
6,0.9836065573770492,0.9888888888888889,0.9845708775313404,2431916,1.0,1.0,1.0,19028208,1.0,1.0,1.0,864208,1.0,1.0,1.0,936250,0.9672131147540983,0.9592245989304813,0.9672131147540983,664625,1.0,1.0,1.0,1518875,0.7377049180327869,0.7040229885057472,0.9349960550539143,5061708,1.0,1.0,1.0,1065040458,1.0,1.0,1.0,322410917,1.0,1.0,1.0,7099042,1.0,1.0,1.0,35231209,1.0,1.0,1.0,14169166,1.0,1.0,1.0,141673792,1.0,1.0,1.0,1313750,0.6229508196721312,0.3958333333333333,0.6795827123695976,741333,0.7213114754098361,0.7213114754098361,1.0,77375,1.0,1.0,1.0,329467083,1.0,1.0,1.0,70174750,1.0,1.0,1.0,130202667
7,1.0,1.0,1.0,2418125,1.0,1.0,1.0,17587166,1.0,1.0,1.0,701333,1.0,1.0,1.0,882625,0.9508196721311475,0.925,0.9541728763040238,550666,1.0,1.0,1.0,1411334,0.8852459016393442,0.8971088435374149,0.9123126150609275,4977375,1.0,1.0,1.0,682299458,0.9836065573770492,0.9722222222222222,0.9839791356184799,9132500,1.0,1.0,1.0,10673417,1.0,1.0,1.0,45631250,1.0,1.0,1.0,8446667,1.0,1.0,1.0,228807667,1.0,1.0,1.0,1423583,0.639344262295082,0.375,0.7555886736214605,877667,0.7213114754098361,0.7213114754098361,1.0,87750,1.0,1.0,1.0,356152959,1.0,1.0,1.0,58826416,1.0,1.0,1.0,118181584
8,1.0,1.0,1.0,2448000,1.0,1.0,1.0,17914250,1.0,1.0,1.0,742709,1.0,1.0,1.0,881000,0.9836065573770492,0.9871794871794872,0.9843193157519601,563500,1.0,1.0,1.0,1456834,0.7704918032786885,0.8653846153846154,0.910192444761226,4981291,1.0,1.0,1.0,932128875,1.0,1.0,1.0,7501208,1.0,1.0,1.0,6204250,1.0,1.0,1.0,40161791,1.0,1.0,1.0,8449042,1.0,1.0,1.0,99535125,1.0,1.0,1.0,1301541,0.5245901639344263,0.2909090909090909,0.7592752372735115,698208,0.6229508196721312,0.6229508196721312,1.0,74459,1.0,1.0,1.0,317399417,1.0,1.0,1.0,56044458,1.0,1.0,1.0,128790958
9,0.9672131147540983,0.9772727272727273,0.9706643658326143,2383250,1.0,1.0,1.0,18083625,1.0,1.0,1.0,786750,1.0,1.0,1.0,867459,0.9180327868852459,0.9095607235142118,0.9198405850692304,551666,1.0,1.0,1.0,1421917,0.819672131147541,0.8962264150943396,0.9240724762726488,5047417,0.9836065573770492,0.9883720930232558,0.9844693701466782,786562958,1.0,1.0,1.0,8443250,1.0,1.0,1.0,19424458,1.0,1.0,1.0,43109125,1.0,1.0,1.0,20003125,1.0,1.0,1.0,97649125,0.9836065573770492,0.9883720930232558,0.9844693701466782,1223166,0.639344262295082,0.3482142857142857,0.8524590163934426,988500,0.6885245901639344,0.6885245901639344,1.0,77666,1.0,1.0,1.0,280672625,1.0,1.0,1.0,54930542,1.0,1.0,1.0,131974208
