model,output,metric,value
SVC,target,accuracy,0.7
SVC,target,precision,0.7777777777777778
SVC,target,recall,0.6363636363636364
SVC,target,f1,0.7000000000000001
SVC,target,train_time,119416975347.0
SVC,target,predict_time,703375.0
SVC,target,logloss,0.5835462292109738
SVC,target,shscore,0.4563156250849594
SVC,target,roc_auc,0.7070707070707071
SVC,target,balanced_accuracy,0.7070707070707071
SVC,target,jaccard,0.5384615384615384
GradientBoosting,target,accuracy,0.85
GradientBoosting,target,precision,0.9
GradientBoosting,target,recall,0.8181818181818182
GradientBoosting,target,f1,0.8571428571428572
GradientBoosting,target,train_time,85921738872.0
GradientBoosting,target,predict_time,2986625.0
GradientBoosting,target,logloss,1.7528167191333577
GradientBoosting,target,shscore,0.09009693342133629
GradientBoosting,target,roc_auc,0.8535353535353535
GradientBoosting,target,balanced_accuracy,0.8535353535353536
GradientBoosting,target,jaccard,0.75
GaussianNB,target,accuracy,0.85
GaussianNB,target,precision,0.7857142857142857
GaussianNB,target,recall,1.0
GaussianNB,target,f1,0.88
GaussianNB,target,train_time,52784572358.0
GaussianNB,target,predict_time,627375.0
GaussianNB,target,logloss,2.157116383479015
GaussianNB,target,shscore,-0.7703745801327334
GaussianNB,target,roc_auc,0.8333333333333334
GaussianNB,target,balanced_accuracy,0.8333333333333333
GaussianNB,target,jaccard,0.7857142857142857
DecisionTree,target,accuracy,0.65
DecisionTree,target,precision,0.75
DecisionTree,target,recall,0.5454545454545454
DecisionTree,target,f1,0.631578947368421
DecisionTree,target,train_time,93659694126.0
DecisionTree,target,predict_time,1052333.0
DecisionTree,target,logloss,12.615278686191001
DecisionTree,target,shscore,-4.086270123854479
DecisionTree,target,roc_auc,0.6616161616161615
DecisionTree,target,balanced_accuracy,0.6616161616161615
DecisionTree,target,jaccard,0.46153846153846156
KNeighbors,target,accuracy,0.8
KNeighbors,target,precision,0.7692307692307693
KNeighbors,target,recall,0.9090909090909091
KNeighbors,target,f1,0.8333333333333333
KNeighbors,target,train_time,83645708621.0
KNeighbors,target,predict_time,40132417.0
KNeighbors,target,logloss,0.4985460257343167
KNeighbors,target,shscore,0.5339815599212456
KNeighbors,target,roc_auc,0.787878787878788
KNeighbors,target,balanced_accuracy,0.7878787878787878
KNeighbors,target,jaccard,0.7142857142857143
AdaBoost,target,accuracy,0.75
AdaBoost,target,precision,0.875
AdaBoost,target,recall,0.6363636363636364
AdaBoost,target,f1,0.7368421052631579
AdaBoost,target,train_time,100007475129.0
AdaBoost,target,predict_time,13645125.0
AdaBoost,target,logloss,0.477658797636393
AdaBoost,target,shscore,0.5432930104460466
AdaBoost,target,roc_auc,0.7626262626262625
AdaBoost,target,balanced_accuracy,0.7626262626262625
AdaBoost,target,jaccard,0.5833333333333334
RandomForest,target,accuracy,0.95
RandomForest,target,precision,0.9166666666666666
RandomForest,target,recall,1.0
RandomForest,target,f1,0.9565217391304348
RandomForest,target,train_time,101397841838.0
RandomForest,target,predict_time,43508750.0
RandomForest,target,logloss,0.3197198386114411
RandomForest,target,shscore,0.8049100507617588
RandomForest,target,roc_auc,0.9444444444444444
RandomForest,target,balanced_accuracy,0.9444444444444444
RandomForest,target,jaccard,0.9166666666666666
MLP,target,accuracy,0.85
MLP,target,precision,0.9
MLP,target,recall,0.8181818181818182
MLP,target,f1,0.8571428571428572
MLP,target,train_time,95169307752.0
MLP,target,predict_time,763125.0
MLP,target,logloss,0.372781048923776
MLP,target,shscore,0.6652185160615036
MLP,target,roc_auc,0.8535353535353535
MLP,target,balanced_accuracy,0.8535353535353536
MLP,target,jaccard,0.75
CatBoost,target,accuracy,0.75
CatBoost,target,precision,0.8
CatBoost,target,recall,0.7272727272727273
CatBoost,target,f1,0.761904761904762
CatBoost,target,train_time,189027231878.0
CatBoost,target,predict_time,6362708.0
CatBoost,target,logloss,0.5140432319705982
CatBoost,target,shscore,0.5291753033430736
CatBoost,target,roc_auc,0.7525252525252525
CatBoost,target,balanced_accuracy,0.7525252525252526
CatBoost,target,jaccard,0.6153846153846154
ExtraTrees,target,accuracy,0.7
ExtraTrees,target,precision,0.7777777777777778
ExtraTrees,target,recall,0.6363636363636364
ExtraTrees,target,f1,0.7000000000000001
ExtraTrees,target,train_time,104619899505.0
ExtraTrees,target,predict_time,38442292.0
ExtraTrees,target,logloss,0.3916274290145117
ExtraTrees,target,shscore,0.5394846805700814
ExtraTrees,target,roc_auc,0.7070707070707071
ExtraTrees,target,balanced_accuracy,0.7070707070707071
ExtraTrees,target,jaccard,0.5384615384615384
Dummy,target,accuracy,0.6
Dummy,target,precision,0.6153846153846154
Dummy,target,recall,0.7272727272727273
Dummy,target,f1,0.6666666666666667
Dummy,target,train_time,68509900656.0
Dummy,target,predict_time,70667.0
Dummy,target,logloss,0.6931471805599453
