model,output,metric,value
SVC,target,accuracy,0.9219512195121952
SVC,target,precision,0.94
SVC,target,recall,0.9038461538461539
SVC,target,f1,0.9215686274509804
SVC,target,train_time,224401892645.0
SVC,target,predict_time,12086833.0
SVC,target,logloss,0.1512502133791851
SVC,target,shscore,0.7915879832881878
SVC,target,roc_auc,0.9222201066260471
SVC,target,balanced_accuracy,0.9222201066260471
SVC,target,jaccard,0.8545454545454545
GradientBoosting,target,accuracy,1.0
GradientBoosting,target,precision,1.0
GradientBoosting,target,recall,1.0
GradientBoosting,target,f1,1.0
GradientBoosting,target,train_time,3559952959.0
GradientBoosting,target,predict_time,992000.0
GradientBoosting,target,logloss,0.0031572373656600463
GradientBoosting,target,shscore,0.9968427626343399
GradientBoosting,target,roc_auc,1.0
GradientBoosting,target,balanced_accuracy,1.0
GradientBoosting,target,jaccard,1.0
GaussianNB,target,accuracy,0.8634146341463415
GaussianNB,target,precision,0.8454545454545455
GaussianNB,target,recall,0.8942307692307693
GaussianNB,target,f1,0.8691588785046728
GaussianNB,target,train_time,549874875.0
GaussianNB,target,predict_time,679916.0
GaussianNB,target,logloss,1.3737249389174395
GaussianNB,target,shscore,0.704518555068149
GaussianNB,target,roc_auc,0.8629569687738003
GaussianNB,target,balanced_accuracy,0.8629569687738005
GaussianNB,target,jaccard,0.768595041322314
DecisionTree,target,accuracy,0.9365853658536586
DecisionTree,target,precision,0.9504950495049505
DecisionTree,target,recall,0.9230769230769231
DecisionTree,target,f1,0.9365853658536586
DecisionTree,target,train_time,859086584.0
DecisionTree,target,predict_time,507167.0
DecisionTree,target,logloss,0.6260279650069627
DecisionTree,target,shscore,0.8564853379682068
DecisionTree,target,roc_auc,0.9367859862909368
DecisionTree,target,balanced_accuracy,0.9367859862909368
DecisionTree,target,jaccard,0.8807339449541285
KNeighbors,target,accuracy,1.0
KNeighbors,target,precision,1.0
KNeighbors,target,recall,1.0
KNeighbors,target,f1,1.0
KNeighbors,target,train_time,2137638210.0
KNeighbors,target,predict_time,84616916.0
KNeighbors,target,logloss,0.007170582203649272
KNeighbors,target,shscore,0.9928294177963499
KNeighbors,target,roc_auc,1.0
KNeighbors,target,balanced_accuracy,1.0
KNeighbors,target,jaccard,1.0
AdaBoost,target,accuracy,0.8585365853658536
AdaBoost,target,precision,0.8378378378378378
AdaBoost,target,recall,0.8942307692307693
AdaBoost,target,f1,0.8651162790697674
AdaBoost,target,train_time,4864536502.0
AdaBoost,target,predict_time,4069917.0
AdaBoost,target,logloss,0.4326655564367401
AdaBoost,target,shscore,0.44314338789567576
AdaBoost,target,roc_auc,0.8580064737242955
AdaBoost,target,balanced_accuracy,0.8580064737242955
AdaBoost,target,jaccard,0.7622950819672131
RandomForest,target,accuracy,0.9121951219512195
RandomForest,target,precision,0.8981481481481481
RandomForest,target,recall,0.9326923076923077
RandomForest,target,f1,0.9150943396226415
RandomForest,target,train_time,9578029504.0
RandomForest,target,predict_time,12675625.0
RandomForest,target,logloss,0.3781521686411589
RandomForest,target,shscore,0.5398857937733401
RandomForest,target,roc_auc,0.9118907083015995
RandomForest,target,balanced_accuracy,0.9118907083015995
RandomForest,target,jaccard,0.8434782608695652
MLP,target,accuracy,0.8731707317073171
MLP,target,precision,0.9239130434782609
MLP,target,recall,0.8173076923076923
MLP,target,f1,0.8673469387755101
MLP,target,train_time,1162621723656.0
MLP,target,predict_time,74676958.0
MLP,target,logloss,0.30889043346873496
MLP,target,shscore,0.6271927277235865
MLP,target,roc_auc,0.8740003808073115
MLP,target,balanced_accuracy,0.8740003808073116
MLP,target,jaccard,0.7657657657657657
CatBoost,target,accuracy,0.9853658536585366
CatBoost,target,precision,1.0
CatBoost,target,recall,0.9711538461538461
CatBoost,target,f1,0.9853658536585366
CatBoost,target,train_time,14224986049.0
CatBoost,target,predict_time,1272625.0
CatBoost,target,logloss,0.020804917661563078
CatBoost,target,shscore,0.9693448239856056
CatBoost,target,roc_auc,0.9855769230769231
CatBoost,target,balanced_accuracy,0.9855769230769231
CatBoost,target,jaccard,0.9711538461538461
ExtraTrees,target,accuracy,0.9853658536585366
ExtraTrees,target,precision,0.9719626168224299
ExtraTrees,target,recall,1.0
ExtraTrees,target,f1,0.985781990521327
ExtraTrees,target,train_time,9427947795.0
ExtraTrees,target,predict_time,35075584.0
ExtraTrees,target,logloss,0.1018855598287074
ExtraTrees,target,shscore,0.885498990445172
ExtraTrees,target,roc_auc,0.9851485148514851
ExtraTrees,target,balanced_accuracy,0.9851485148514851
ExtraTrees,target,jaccard,0.9719626168224299
Dummy,target,accuracy,0.5024390243902439
Dummy,target,precision,0.509090909090909
Dummy,target,recall,0.5384615384615384
Dummy,target,f1,0.5233644859813084
Dummy,target,train_time,537462917.0
Dummy,target,predict_time,91417.0
Dummy,target,logloss,17.406447246451698
Dummy,target,shscore,0.018980158960880456
Dummy,target,roc_auc,0.5019040365575018
Dummy,target,balanced_accuracy,0.5019040365575019
Dummy,target,jaccard,0.35443037974683544
HGB,target,accuracy,1.0
HGB,target,precision,1.0
HGB,target,recall,1.0
HGB,target,f1,1.0
HGB,target,train_time,198009184174.0
HGB,target,predict_time,145045667.0
HGB,target,logloss,0.007418944593459075
HGB,target,shscore,0.992581055406541
HGB,target,roc_auc,1.0
HGB,target,balanced_accuracy,1.0
HGB,target,jaccard,1.0
LGBM,target,accuracy,1.0
LGBM,target,precision,1.0
LGBM,target,recall,1.0
LGBM,target,f1,1.0
LGBM,target,train_time,83172248329.0
LGBM,target,predict_time,1989125.0
LGBM,target,logloss,0.0009474715872287575
LGBM,target,shscore,0.9990525284127713
LGBM,target,roc_auc,1.0
LGBM,target,balanced_accuracy,1.0
LGBM,target,jaccard,1.0
XGB,target,accuracy,0.9853658536585366
XGB,target,precision,1.0
XGB,target,recall,0.9711538461538461
XGB,target,f1,0.9853658536585366
XGB,target,train_time,30231597723.0
XGB,target,predict_time,3362416.0
XGB,target,logloss,0.042351322409157025
XGB,target,shscore,0.9621555637767384
XGB,target,roc_auc,0.9855769230769231
XGB,target,balanced_accuracy,0.9855769230769231
XGB,target,jaccard,0.9711538461538461
ExtraTree,target,accuracy,0.9317073170731708
ExtraTree,target,precision,0.9245283018867925
ExtraTree,target,recall,0.9423076923076923
ExtraTree,target,f1,0.9333333333333333
ExtraTree,target,train_time,841210501.0
ExtraTree,target,predict_time,2664833.0
ExtraTree,target,logloss,0.14956595050646285
ExtraTree,target,shscore,0.8028310859749284
ExtraTree,target,roc_auc,0.9315498857578066
ExtraTree,target,balanced_accuracy,0.9315498857578066
ExtraTree,target,jaccard,0.875
