model,output,metric,value
SVC,target,accuracy,0.975
SVC,target,precision,1.0
SVC,target,recall,0.956989247311828
SVC,target,f1,0.978021978021978
SVC,target,train_time,303954174180.0
SVC,target,predict_time,5256625.0
SVC,target,logloss,0.0619873706763624
SVC,target,shscore,0.9232485574345694
SVC,target,roc_auc,0.978494623655914
SVC,target,balanced_accuracy,0.978494623655914
SVC,target,jaccard,0.956989247311828
GradientBoosting,target,accuracy,0.96875
GradientBoosting,target,precision,1.0
GradientBoosting,target,recall,0.946236559139785
GradientBoosting,target,f1,0.9723756906077348
GradientBoosting,target,train_time,3103471709.0
GradientBoosting,target,predict_time,834583.0
GradientBoosting,target,logloss,0.1518484509654813
GradientBoosting,target,shscore,0.9390763476560284
GradientBoosting,target,roc_auc,0.9731182795698924
GradientBoosting,target,balanced_accuracy,0.9731182795698924
GradientBoosting,target,jaccard,0.946236559139785
GaussianNB,target,accuracy,0.8375
GaussianNB,target,precision,0.8602150537634409
GaussianNB,target,recall,0.8602150537634409
GaussianNB,target,f1,0.8602150537634409
GaussianNB,target,train_time,590601834.0
GaussianNB,target,predict_time,802042.0
GaussianNB,target,logloss,1.4113529537918494
GaussianNB,target,shscore,0.6580604046653025
GaussianNB,target,roc_auc,0.8330926015085862
GaussianNB,target,balanced_accuracy,0.8330926015085861
GaussianNB,target,jaccard,0.7547169811320755
DecisionTree,target,accuracy,0.9375
DecisionTree,target,precision,1.0
DecisionTree,target,recall,0.8924731182795699
DecisionTree,target,f1,0.943181818181818
DecisionTree,target,train_time,808393959.0
DecisionTree,target,predict_time,475042.0
DecisionTree,target,logloss,1.424752828613825
DecisionTree,target,shscore,0.8712908660777513
DecisionTree,target,roc_auc,0.946236559139785
DecisionTree,target,balanced_accuracy,0.946236559139785
DecisionTree,target,jaccard,0.8924731182795699
KNeighbors,target,accuracy,0.96875
KNeighbors,target,precision,1.0
KNeighbors,target,recall,0.946236559139785
KNeighbors,target,f1,0.9723756906077348
KNeighbors,target,train_time,2154875710.0
KNeighbors,target,predict_time,43379166.0
KNeighbors,target,logloss,0.4790534933640932
KNeighbors,target,shscore,0.9328157676355886
KNeighbors,target,roc_auc,0.9731182795698924
KNeighbors,target,balanced_accuracy,0.9731182795698924
KNeighbors,target,jaccard,0.946236559139785
AdaBoost,target,accuracy,0.85
AdaBoost,target,precision,0.8631578947368421
AdaBoost,target,recall,0.8817204301075269
AdaBoost,target,f1,0.8723404255319148
AdaBoost,target,train_time,4622174502.0
AdaBoost,target,predict_time,3314292.0
AdaBoost,target,logloss,0.4421009883455974
AdaBoost,target,shscore,0.422234066587283
AdaBoost,target,roc_auc,0.8438452896806291
AdaBoost,target,balanced_accuracy,0.8438452896806291
AdaBoost,target,jaccard,0.7735849056603774
RandomForest,target,accuracy,0.8875
RandomForest,target,precision,0.9213483146067416
RandomForest,target,recall,0.8817204301075269
RandomForest,target,f1,0.901098901098901
RandomForest,target,train_time,8848164212.0
RandomForest,target,predict_time,34770042.0
RandomForest,target,logloss,0.3308462236556955
RandomForest,target,shscore,0.5627728693382075
RandomForest,target,roc_auc,0.8886214090836143
RandomForest,target,balanced_accuracy,0.8886214090836142
RandomForest,target,jaccard,0.82
MLP,target,accuracy,0.89375
MLP,target,precision,0.8877551020408163
MLP,target,recall,0.935483870967742
MLP,target,f1,0.9109947643979056
MLP,target,train_time,1267881238534.0
MLP,target,predict_time,50656500.0
MLP,target,logloss,0.2859638717636273
MLP,target,shscore,0.6780324095452215
MLP,target,roc_auc,0.8856523832450649
MLP,target,balanced_accuracy,0.8856523832450649
MLP,target,jaccard,0.8365384615384616
CatBoost,target,accuracy,0.99375
CatBoost,target,precision,1.0
CatBoost,target,recall,0.989247311827957
CatBoost,target,f1,0.9945945945945946
CatBoost,target,train_time,12368255965.0
CatBoost,target,predict_time,1336166.0
CatBoost,target,logloss,0.0290451142241685
CatBoost,target,shscore,0.9805212942348744
CatBoost,target,roc_auc,0.9946236559139784
CatBoost,target,balanced_accuracy,0.9946236559139784
CatBoost,target,jaccard,0.989247311827957
ExtraTrees,target,accuracy,0.9
ExtraTrees,target,precision,0.913978494623656
ExtraTrees,target,recall,0.913978494623656
ExtraTrees,target,f1,0.913978494623656
ExtraTrees,target,train_time,5989717211.0
ExtraTrees,target,predict_time,12994541.0
ExtraTrees,target,logloss,0.2262858235440196
ExtraTrees,target,shscore,0.6840509546828796
ExtraTrees,target,roc_auc,0.8972877547745145
ExtraTrees,target,balanced_accuracy,0.8972877547745145
ExtraTrees,target,jaccard,0.8415841584158416
Dummy,target,accuracy,0.56875
Dummy,target,precision,0.6538461538461539
Dummy,target,recall,0.5483870967741935
Dummy,target,f1,0.5964912280701755
Dummy,target,train_time,573244042.0
Dummy,target,predict_time,139084.0
Dummy,target,logloss,18.69764519560452
Dummy,target,shscore,0.053387069769767
Dummy,target,roc_auc,0.5727010110736639
Dummy,target,balanced_accuracy,0.5727010110736639
Dummy,target,jaccard,0.425
HGB,target,accuracy,0.975
HGB,target,precision,1.0
HGB,target,recall,0.956989247311828
HGB,target,f1,0.978021978021978
HGB,target,train_time,150203139194.0
HGB,target,predict_time,107057750.0
HGB,target,logloss,0.0834812531151913
HGB,target,shscore,0.9475514687144412
HGB,target,roc_auc,0.978494623655914
HGB,target,balanced_accuracy,0.978494623655914
HGB,target,jaccard,0.956989247311828
LGBM,target,accuracy,1.0
LGBM,target,precision,1.0
LGBM,target,recall,1.0
LGBM,target,f1,1.0
LGBM,target,train_time,33973785432.0
LGBM,target,predict_time,8911709.0
LGBM,target,logloss,0.0045515457329255
LGBM,target,shscore,0.9954484542670744
LGBM,target,roc_auc,1.0
LGBM,target,balanced_accuracy,1.0
LGBM,target,jaccard,1.0
XGB,target,accuracy,0.99375
XGB,target,precision,1.0
XGB,target,recall,0.989247311827957
XGB,target,f1,0.9945945945945946
XGB,target,train_time,22280161344.0
XGB,target,predict_time,3574375.0
XGB,target,logloss,0.0653910812749682
XGB,target,shscore,0.9560242321329466
XGB,target,roc_auc,0.9946236559139784
XGB,target,balanced_accuracy,0.9946236559139784
XGB,target,jaccard,0.989247311827957
ExtraTree,target,accuracy,0.875
ExtraTree,target,precision,0.9101123595505618
ExtraTree,target,recall,0.8709677419354839
ExtraTree,target,f1,0.8901098901098902
ExtraTree,target,train_time,713920792.0
ExtraTree,target,predict_time,489917.0
ExtraTree,target,logloss,1.1154013246223984
ExtraTree,target,shscore,0.6855852244487859
ExtraTree,target,roc_auc,0.8757823784304285
ExtraTree,target,balanced_accuracy,0.8757823784304285
ExtraTree,target,jaccard,0.801980198019802
