model,output,metric,value
SVC,target,accuracy,0.86
SVC,target,precision,0.7833333333333333
SVC,target,recall,0.9791666666666666
SVC,target,f1,0.8703703703703703
SVC,target,train_time,2830218606000.0
SVC,target,predict_time,3118208.0
SVC,target,logloss,0.3026373872108717
SVC,target,shscore,0.6926985376597984
SVC,target,roc_auc,0.8645833333333334
SVC,target,balanced_accuracy,0.8645833333333333
SVC,target,jaccard,0.7704918032786885
GradientBoosting,target,accuracy,0.89
GradientBoosting,target,precision,0.8245614035087719
GradientBoosting,target,recall,0.9791666666666666
GradientBoosting,target,f1,0.8952380952380952
GradientBoosting,target,train_time,6386296169.0
GradientBoosting,target,predict_time,861125.0
GradientBoosting,target,logloss,0.7592361623619973
GradientBoosting,target,shscore,0.785530472489044
GradientBoosting,target,roc_auc,0.8934294871794872
GradientBoosting,target,balanced_accuracy,0.8934294871794872
GradientBoosting,target,jaccard,0.8103448275862069
GaussianNB,target,accuracy,0.81
GaussianNB,target,precision,0.7457627118644068
GaussianNB,target,recall,0.9166666666666666
GaussianNB,target,f1,0.822429906542056
GaussianNB,target,train_time,3283499126.0
GaussianNB,target,predict_time,625958.0
GaussianNB,target,logloss,1.468414551989822
GaussianNB,target,shscore,0.6268268972064199
GaussianNB,target,roc_auc,0.8141025641025641
GaussianNB,target,balanced_accuracy,0.8141025641025641
GaussianNB,target,jaccard,0.6984126984126984
DecisionTree,target,accuracy,0.94
DecisionTree,target,precision,0.903846153846154
DecisionTree,target,recall,0.9791666666666666
DecisionTree,target,f1,0.94
DecisionTree,target,train_time,5972536878.0
DecisionTree,target,predict_time,464083.0
DecisionTree,target,logloss,1.809114141261457
DecisionTree,target,shscore,0.8845749384508098
DecisionTree,target,roc_auc,0.94150641025641
DecisionTree,target,balanced_accuracy,0.9415064102564102
DecisionTree,target,jaccard,0.8867924528301887
KNeighbors,target,accuracy,0.82
KNeighbors,target,precision,0.75
KNeighbors,target,recall,0.9375
KNeighbors,target,f1,0.8333333333333334
KNeighbors,target,train_time,6202975253.0
KNeighbors,target,predict_time,59074625.0
KNeighbors,target,logloss,2.319754661776088
KNeighbors,target,shscore,0.6298704894813597
KNeighbors,target,roc_auc,0.8245192307692308
KNeighbors,target,balanced_accuracy,0.8245192307692308
KNeighbors,target,jaccard,0.7142857142857143
AdaBoost,target,accuracy,0.83
AdaBoost,target,precision,0.7627118644067796
AdaBoost,target,recall,0.9375
AdaBoost,target,f1,0.8411214953271028
AdaBoost,target,train_time,7150141753.0
AdaBoost,target,predict_time,3316125.0
AdaBoost,target,logloss,0.4202019655906843
AdaBoost,target,shscore,0.4456556634363623
AdaBoost,target,roc_auc,0.8341346153846154
AdaBoost,target,balanced_accuracy,0.8341346153846154
AdaBoost,target,jaccard,0.7258064516129032
RandomForest,target,accuracy,0.86
RandomForest,target,precision,0.7833333333333333
RandomForest,target,recall,0.9791666666666666
RandomForest,target,f1,0.8703703703703703
RandomForest,target,train_time,10292310546.0
RandomForest,target,predict_time,13495166.0
RandomForest,target,logloss,0.3453891507544307
RandomForest,target,shscore,0.5591490843901887
RandomForest,target,roc_auc,0.8645833333333334
RandomForest,target,balanced_accuracy,0.8645833333333333
RandomForest,target,jaccard,0.7704918032786885
MLP,target,accuracy,0.86
MLP,target,precision,0.8035714285714286
MLP,target,recall,0.9375
MLP,target,f1,0.8653846153846154
MLP,target,train_time,836460014215.0
MLP,target,predict_time,81405625.0
MLP,target,logloss,0.3474482383621224
MLP,target,shscore,0.6601783157344365
MLP,target,roc_auc,0.8629807692307692
MLP,target,balanced_accuracy,0.8629807692307692
MLP,target,jaccard,0.7627118644067796
CatBoost,target,accuracy,0.96
CatBoost,target,precision,0.9230769230769232
CatBoost,target,recall,1.0
CatBoost,target,f1,0.96
CatBoost,target,train_time,12165832131.0
CatBoost,target,predict_time,1124958.0
CatBoost,target,logloss,0.2727911994025923
CatBoost,target,shscore,0.8955697284569725
CatBoost,target,roc_auc,0.9615384615384616
CatBoost,target,balanced_accuracy,0.9615384615384616
CatBoost,target,jaccard,0.9230769230769232
ExtraTrees,target,accuracy,0.9
ExtraTrees,target,precision,0.8275862068965517
ExtraTrees,target,recall,1.0
ExtraTrees,target,f1,0.9056603773584906
ExtraTrees,target,train_time,7429014795.0
ExtraTrees,target,predict_time,14152083.0
ExtraTrees,target,logloss,0.2460338772773162
ExtraTrees,target,shscore,0.7579298719813219
ExtraTrees,target,roc_auc,0.903846153846154
ExtraTrees,target,balanced_accuracy,0.903846153846154
ExtraTrees,target,jaccard,0.8275862068965517
Dummy,target,accuracy,0.47
Dummy,target,precision,0.4509803921568627
Dummy,target,recall,0.4791666666666667
Dummy,target,f1,0.4646464646464646
Dummy,target,train_time,3467399002.0
Dummy,target,predict_time,61083.0
Dummy,target,logloss,14.417461355646862
Dummy,target,shscore,0.0703632408848941
Dummy,target,roc_auc,0.4703525641025641
Dummy,target,balanced_accuracy,0.4703525641025641
Dummy,target,jaccard,0.3026315789473684
HGB,target,accuracy,0.88
HGB,target,precision,0.8
HGB,target,recall,1.0
HGB,target,f1,0.888888888888889
HGB,target,train_time,129810402559.0
HGB,target,predict_time,119268208.0
