model,output,metric,value
DecisionTree,target,accuracy,0.86
DecisionTree,target,precision,0.8673469387755102
DecisionTree,target,recall,0.85
DecisionTree,target,f1,0.8585858585858585
DecisionTree,target,train_time,16556461091.0
DecisionTree,target,predict_time,488209.0
DecisionTree,target,logloss,0.31964814910177347
DecisionTree,target,shscore,0.5712425620727024
DecisionTree,target,roc_auc,0.8600000000000001
DecisionTree,target,balanced_accuracy,0.86
DecisionTree,target,jaccard,0.7522123893805309
MLP,target,accuracy,0.92
MLP,target,precision,0.92
MLP,target,recall,0.92
MLP,target,f1,0.92
MLP,target,train_time,1734964873538.0
MLP,target,predict_time,15825167.0
MLP,target,logloss,0.22124711874796674
MLP,target,shscore,0.7352098247913915
MLP,target,roc_auc,0.9199999999999999
MLP,target,balanced_accuracy,0.92
MLP,target,jaccard,0.8518518518518519
LGBM_GBDT,target,accuracy,1.0
LGBM_GBDT,target,precision,1.0
LGBM_GBDT,target,recall,1.0
LGBM_GBDT,target,f1,1.0
LGBM_GBDT,target,train_time,116552160387.0
LGBM_GBDT,target,predict_time,1526459.0
LGBM_GBDT,target,logloss,0.023900030483392665
LGBM_GBDT,target,shscore,0.9760999695166074
LGBM_GBDT,target,roc_auc,1.0
LGBM_GBDT,target,balanced_accuracy,1.0
LGBM_GBDT,target,jaccard,1.0
LGBM_DART,target,accuracy,1.0
LGBM_DART,target,precision,1.0
LGBM_DART,target,recall,1.0
LGBM_DART,target,f1,1.0
LGBM_DART,target,train_time,215522747265.0
LGBM_DART,target,predict_time,2146750.0
LGBM_DART,target,logloss,0.023179375833799244
LGBM_DART,target,shscore,0.9768206241662007
LGBM_DART,target,roc_auc,1.0
LGBM_DART,target,balanced_accuracy,1.0
LGBM_DART,target,jaccard,1.0
QDA,target,accuracy,0.9
QDA,target,precision,0.8846153846153846
QDA,target,recall,0.92
QDA,target,f1,0.9019607843137256
QDA,target,train_time,13284894131.0
QDA,target,predict_time,971916.0
QDA,target,logloss,0.2893452108268235
QDA,target,shscore,0.6634972365400166
QDA,target,roc_auc,0.9
QDA,target,balanced_accuracy,0.9
QDA,target,jaccard,0.8214285714285714
