model,output,metric,value
DecisionTree,target,accuracy,0.84
DecisionTree,target,precision,0.7966101694915254
DecisionTree,target,recall,0.9215686274509804
DecisionTree,target,f1,0.8545454545454545
DecisionTree,target,train_time,1651969003500.0
DecisionTree,target,predict_time,516875.0
DecisionTree,target,logloss,0.3760504564353751
DecisionTree,target,shscore,0.5521459751829286
DecisionTree,target,roc_auc,0.8383353341336534
DecisionTree,target,balanced_accuracy,0.8383353341336535
DecisionTree,target,jaccard,0.746031746031746
MLP,target,accuracy,0.895
MLP,target,precision,0.8648648648648649
MLP,target,recall,0.9411764705882352
MLP,target,f1,0.9014084507042254
MLP,target,train_time,13373722431588.0
MLP,target,predict_time,24231167.0
MLP,target,logloss,0.2620571406852206
MLP,target,shscore,0.6919652027038543
MLP,target,roc_auc,0.8940576230492197
MLP,target,balanced_accuracy,0.8940576230492197
MLP,target,jaccard,0.8205128205128205
LGBM_GBDT,target,accuracy,1.0
LGBM_GBDT,target,precision,1.0
LGBM_GBDT,target,recall,1.0
LGBM_GBDT,target,f1,1.0
LGBM_GBDT,target,train_time,2179473989207.0
LGBM_GBDT,target,predict_time,1531042.0
LGBM_GBDT,target,logloss,0.0484731573839668
LGBM_GBDT,target,shscore,0.9515268426160332
LGBM_GBDT,target,roc_auc,1.0
LGBM_GBDT,target,balanced_accuracy,1.0
LGBM_GBDT,target,jaccard,1.0
LGBM_DART,target,accuracy,1.0
LGBM_DART,target,precision,1.0
LGBM_DART,target,recall,1.0
LGBM_DART,target,f1,1.0
LGBM_DART,target,train_time,5274529192317.0
LGBM_DART,target,predict_time,1694292.0
LGBM_DART,target,logloss,0.0289440938070405
LGBM_DART,target,shscore,0.9710559061929596
LGBM_DART,target,roc_auc,1.0
LGBM_DART,target,balanced_accuracy,1.0
LGBM_DART,target,jaccard,1.0
QDA,target,accuracy,0.88
QDA,target,precision,0.8305084745762712
QDA,target,recall,0.9607843137254902
QDA,target,f1,0.890909090909091
QDA,target,train_time,1649090079670.0
QDA,target,predict_time,1053541.0
QDA,target,logloss,0.3561355382318789
QDA,target,shscore,0.7197454330506936
QDA,target,roc_auc,0.8783513405362146
QDA,target,balanced_accuracy,0.8783513405362144
QDA,target,jaccard,0.8032786885245902
