model,output,metric,value
DecisionTree,target,accuracy,0.86
DecisionTree,target,precision,0.8936170212765957
DecisionTree,target,recall,0.8235294117647058
DecisionTree,target,f1,0.8571428571428571
DecisionTree,target,train_time,12864212881.0
DecisionTree,target,predict_time,469250.0
DecisionTree,target,logloss,0.3452418301206486
DecisionTree,target,shscore,0.5857729917945492
DecisionTree,target,roc_auc,0.8607442977190876
DecisionTree,target,balanced_accuracy,0.8607442977190876
DecisionTree,target,jaccard,0.75
MLP,target,accuracy,0.89
MLP,target,precision,0.925531914893617
MLP,target,recall,0.8529411764705882
MLP,target,f1,0.8877551020408163
MLP,target,train_time,1551693006915.0
MLP,target,predict_time,20098834.0
MLP,target,logloss,0.2998019224892202
MLP,target,shscore,0.6662594127621251
MLP,target,roc_auc,0.8907563025210085
MLP,target,balanced_accuracy,0.8907563025210083
MLP,target,jaccard,0.7981651376146789
LGBM_GBDT,target,accuracy,0.985
LGBM_GBDT,target,precision,1.0
LGBM_GBDT,target,recall,0.9705882352941176
LGBM_GBDT,target,f1,0.9850746268656716
LGBM_GBDT,target,train_time,183648320418.0
LGBM_GBDT,target,predict_time,1727917.0
LGBM_GBDT,target,logloss,0.0428003220184179
LGBM_GBDT,target,shscore,0.9624841890985485
LGBM_GBDT,target,roc_auc,0.9852941176470589
LGBM_GBDT,target,balanced_accuracy,0.9852941176470589
LGBM_GBDT,target,jaccard,0.9705882352941176
LGBM_DART,target,accuracy,1.0
LGBM_DART,target,precision,1.0
LGBM_DART,target,recall,1.0
LGBM_DART,target,f1,1.0
LGBM_DART,target,train_time,260837254704.0
LGBM_DART,target,predict_time,3118666.0
LGBM_DART,target,logloss,0.00884557489338144
LGBM_DART,target,shscore,0.9911544251066186
LGBM_DART,target,roc_auc,1.0
LGBM_DART,target,balanced_accuracy,1.0
LGBM_DART,target,jaccard,1.0
QDA,target,accuracy,0.89
QDA,target,precision,0.925531914893617
QDA,target,recall,0.8529411764705882
QDA,target,f1,0.8877551020408163
QDA,target,train_time,12680067047.0
QDA,target,predict_time,998167.0
QDA,target,logloss,0.31859851966974806
QDA,target,shscore,0.6394380582651533
QDA,target,roc_auc,0.8907563025210085
QDA,target,balanced_accuracy,0.8907563025210083
QDA,target,jaccard,0.7981651376146789
