model,output,metric,value
SVC,target,accuracy,1.0
SVC,target,precision,1.0
SVC,target,recall,1.0
SVC,target,f1,1.0
SVC,target,train_time,5155586982928.0
SVC,target,predict_time,6527625.0
SVC,target,logloss,0.018124544073325255
SVC,target,shscore,0.9818754559266747
SVC,target,roc_auc,1.0
SVC,target,balanced_accuracy,1.0
SVC,target,jaccard,1.0
GradientBoosting,target,accuracy,1.0
GradientBoosting,target,precision,1.0
GradientBoosting,target,recall,1.0
GradientBoosting,target,f1,1.0
GradientBoosting,target,train_time,3808590168.0
GradientBoosting,target,predict_time,1366833.0
GradientBoosting,target,logloss,4.26881895419787e-07
GradientBoosting,target,shscore,0.9999995731181046
GradientBoosting,target,roc_auc,1.0
GradientBoosting,target,balanced_accuracy,1.0
GradientBoosting,target,jaccard,1.0
GaussianNB,target,accuracy,0.8439024390243902
GaussianNB,target,precision,0.7768595041322314
GaussianNB,target,recall,0.9494949494949495
GaussianNB,target,f1,0.8545454545454546
GaussianNB,target,train_time,622085500.0
GaussianNB,target,predict_time,653542.0
GaussianNB,target,logloss,1.3170510600542036
GaussianNB,target,shscore,0.6806340301088334
GaussianNB,target,roc_auc,0.8473889841814368
GaussianNB,target,balanced_accuracy,0.847388984181437
GaussianNB,target,jaccard,0.746031746031746
DecisionTree,target,accuracy,0.9512195121951219
DecisionTree,target,precision,0.9405940594059405
DecisionTree,target,recall,0.9595959595959596
DecisionTree,target,f1,0.95
DecisionTree,target,train_time,886070834.0
DecisionTree,target,predict_time,688500.0
DecisionTree,target,logloss,0.11048772862851775
DecisionTree,target,shscore,0.8833526804775297
DecisionTree,target,roc_auc,0.951496093005527
DecisionTree,target,balanced_accuracy,0.951496093005527
DecisionTree,target,jaccard,0.9047619047619048
KNeighbors,target,accuracy,1.0
KNeighbors,target,precision,1.0
KNeighbors,target,recall,1.0
KNeighbors,target,f1,1.0
KNeighbors,target,train_time,2299533835.0
KNeighbors,target,predict_time,85435833.0
KNeighbors,target,logloss,2.2204460492503136e-16
KNeighbors,target,shscore,0.999999999999999
KNeighbors,target,roc_auc,1.0
KNeighbors,target,balanced_accuracy,1.0
KNeighbors,target,jaccard,1.0
AdaBoost,target,accuracy,0.8536585365853658
AdaBoost,target,precision,0.7948717948717948
AdaBoost,target,recall,0.9393939393939394
AdaBoost,target,f1,0.8611111111111112
AdaBoost,target,train_time,6504945920.0
AdaBoost,target,predict_time,12457709.0
AdaBoost,target,logloss,0.4598891944471307
AdaBoost,target,shscore,0.40569684450188637
AdaBoost,target,roc_auc,0.8564894225271584
AdaBoost,target,balanced_accuracy,0.8564894225271584
AdaBoost,target,jaccard,0.7560975609756098
RandomForest,target,accuracy,0.9658536585365853
RandomForest,target,precision,0.9339622641509434
RandomForest,target,recall,1.0
RandomForest,target,f1,0.9658536585365853
RandomForest,target,train_time,9287792920.0
RandomForest,target,predict_time,12913083.0
RandomForest,target,logloss,0.17154679499565598
RandomForest,target,shscore,0.7954343370798156
RandomForest,target,roc_auc,0.9669811320754718
RandomForest,target,balanced_accuracy,0.9669811320754718
RandomForest,target,jaccard,0.9339622641509434
MLP,target,accuracy,0.848780487804878
MLP,target,precision,0.7931034482758621
MLP,target,recall,0.9292929292929293
MLP,target,f1,0.8558139534883721
MLP,target,train_time,1619830842109.0
MLP,target,predict_time,61055334.0
MLP,target,logloss,0.32926026981106243
MLP,target,shscore,0.613475705093498
MLP,target,roc_auc,0.8514389174766535
MLP,target,balanced_accuracy,0.8514389174766533
MLP,target,jaccard,0.7479674796747967
CatBoost,target,accuracy,1.0
CatBoost,target,precision,1.0
CatBoost,target,recall,1.0
CatBoost,target,f1,1.0
CatBoost,target,train_time,14686436674.0
CatBoost,target,predict_time,1505959.0
CatBoost,target,logloss,0.002385654656086844
CatBoost,target,shscore,0.9976143453439131
CatBoost,target,roc_auc,1.0
CatBoost,target,balanced_accuracy,1.0
CatBoost,target,jaccard,1.0
ExtraTrees,target,accuracy,0.9658536585365853
ExtraTrees,target,precision,0.9339622641509434
ExtraTrees,target,recall,1.0
ExtraTrees,target,f1,0.9658536585365853
ExtraTrees,target,train_time,7984508920.0
ExtraTrees,target,predict_time,27665208.0
ExtraTrees,target,logloss,0.12130085644961262
ExtraTrees,target,shscore,0.8507043404278163
ExtraTrees,target,roc_auc,0.9669811320754718
ExtraTrees,target,balanced_accuracy,0.9669811320754718
ExtraTrees,target,jaccard,0.9339622641509434
Dummy,target,accuracy,0.5170731707317073
Dummy,target,precision,0.5
Dummy,target,recall,0.5252525252525253
Dummy,target,f1,0.5123152709359606
Dummy,target,train_time,488733917.0
Dummy,target,predict_time,402542.0
Dummy,target,logloss,16.527333749156156
Dummy,target,shscore,0.058801704956300216
Dummy,target,roc_auc,0.5173432437583381
Dummy,target,balanced_accuracy,0.5173432437583381
Dummy,target,jaccard,0.3443708609271523
HGB,target,accuracy,1.0
HGB,target,precision,1.0
HGB,target,recall,1.0
HGB,target,f1,1.0
HGB,target,train_time,204708819134.0
HGB,target,predict_time,84433750.0
HGB,target,logloss,0.0018530464247444455
HGB,target,shscore,0.9981469535752555
HGB,target,roc_auc,1.0
HGB,target,balanced_accuracy,1.0
HGB,target,jaccard,1.0
LGBM,target,accuracy,1.0
LGBM,target,precision,1.0
LGBM,target,recall,1.0
LGBM,target,f1,1.0
LGBM,target,train_time,52007280023.0
LGBM,target,predict_time,2294958.0
LGBM,target,logloss,4.6663448770636826e-05
LGBM,target,shscore,0.9999533365512293
LGBM,target,roc_auc,1.0
LGBM,target,balanced_accuracy,1.0
LGBM,target,jaccard,1.0
XGB,target,accuracy,1.0
XGB,target,precision,1.0
XGB,target,recall,1.0
XGB,target,f1,1.0
XGB,target,train_time,37025208475.0
XGB,target,predict_time,2867625.0
XGB,target,logloss,0.008318198307821791
XGB,target,shscore,0.9916818030759027
XGB,target,roc_auc,1.0
XGB,target,balanced_accuracy,1.0
XGB,target,jaccard,1.0
ExtraTree,target,accuracy,0.9170731707317074
ExtraTree,target,precision,0.8867924528301887
ExtraTree,target,recall,0.9494949494949495
ExtraTree,target,f1,0.9170731707317074
ExtraTree,target,train_time,816927293.0
ExtraTree,target,predict_time,640250.0
