model,output,metric,value
SVC,target,accuracy,0.95
SVC,target,precision,0.9423076923076924
SVC,target,recall,0.9607843137254902
SVC,target,f1,0.9514563106796116
SVC,target,train_time,3865530230762.0
SVC,target,predict_time,2881250.0
SVC,target,logloss,0.1491252146699313
SVC,target,shscore,0.8244647923779345
SVC,target,roc_auc,0.949779911964786
SVC,target,balanced_accuracy,0.949779911964786
SVC,target,jaccard,0.9074074074074074
GradientBoosting,target,accuracy,0.93
GradientBoosting,target,precision,0.9230769230769232
GradientBoosting,target,recall,0.9411764705882352
GradientBoosting,target,f1,0.9320388349514565
GradientBoosting,target,train_time,11993354297.0
GradientBoosting,target,predict_time,925417.0
GradientBoosting,target,logloss,0.5765365290376167
GradientBoosting,target,shscore,0.8599219961546782
GradientBoosting,target,roc_auc,0.9297719087635056
GradientBoosting,target,balanced_accuracy,0.9297719087635056
GradientBoosting,target,jaccard,0.8727272727272727
GaussianNB,target,accuracy,0.8
GaussianNB,target,precision,0.7818181818181819
GaussianNB,target,recall,0.8431372549019608
GaussianNB,target,f1,0.8113207547169811
GaussianNB,target,train_time,5919310044.0
GaussianNB,target,predict_time,575250.0
GaussianNB,target,logloss,1.3510853811230936
GaussianNB,target,shscore,0.5796595596664473
GaussianNB,target,roc_auc,0.7991196478591437
GaussianNB,target,balanced_accuracy,0.7991196478591436
GaussianNB,target,jaccard,0.6825396825396826
DecisionTree,target,accuracy,0.9
DecisionTree,target,precision,0.8867924528301887
DecisionTree,target,recall,0.9215686274509804
DecisionTree,target,f1,0.903846153846154
DecisionTree,target,train_time,12181550546.0
DecisionTree,target,predict_time,574041.0
DecisionTree,target,logloss,3.605418944068293
DecisionTree,target,shscore,0.79889079805352
DecisionTree,target,roc_auc,0.8995598239295717
DecisionTree,target,balanced_accuracy,0.8995598239295718
DecisionTree,target,jaccard,0.8245614035087719
KNeighbors,target,accuracy,0.91
KNeighbors,target,precision,0.92
KNeighbors,target,recall,0.9019607843137256
KNeighbors,target,f1,0.9108910891089108
KNeighbors,target,train_time,11400221548.0
KNeighbors,target,predict_time,21034083.0
