model,output,metric,value
DecisionTree,classification,accuracy,0.9875
DecisionTree,classification,precision,1.0
DecisionTree,classification,recall,0.9807692307692307
DecisionTree,classification,f1,0.9902912621359222
DecisionTree,classification,train_time,2009531891504.0
DecisionTree,classification,predict_time,575209.0
DecisionTree,classification,logloss,0.06266793104857504
DecisionTree,classification,shscore,0.9727601345991709
DecisionTree,classification,roc_auc,0.9903846153846154
DecisionTree,classification,balanced_accuracy,0.9903846153846154
DecisionTree,classification,jaccard,0.9807692307692307
MLP,classification,accuracy,
MLP,classification,precision,
MLP,classification,recall,
MLP,classification,f1,
MLP,classification,train_time,
MLP,classification,predict_time,
MLP,classification,logloss,
MLP,classification,shscore,
MLP,classification,roc_auc,
MLP,classification,balanced_accuracy,
MLP,classification,jaccard,
LGBM_GBDT,classification,accuracy,0.9875
LGBM_GBDT,classification,precision,1.0
LGBM_GBDT,classification,recall,0.9807692307692307
LGBM_GBDT,classification,f1,0.9902912621359222
LGBM_GBDT,classification,train_time,4295118216286.0
LGBM_GBDT,classification,predict_time,1507250.0
LGBM_GBDT,classification,logloss,0.042553839816124
LGBM_GBDT,classification,shscore,0.9717591234952376
LGBM_GBDT,classification,roc_auc,0.9903846153846154
LGBM_GBDT,classification,balanced_accuracy,0.9903846153846154
LGBM_GBDT,classification,jaccard,0.9807692307692307
LGBM_DART,classification,accuracy,0.9875
LGBM_DART,classification,precision,1.0
LGBM_DART,classification,recall,0.9807692307692307
LGBM_DART,classification,f1,0.9902912621359222
LGBM_DART,classification,train_time,3035235340756.0
LGBM_DART,classification,predict_time,1328417.0
LGBM_DART,classification,logloss,0.03156875083241091
LGBM_DART,classification,shscore,0.967793161522557
LGBM_DART,classification,roc_auc,0.9903846153846154
LGBM_DART,classification,balanced_accuracy,0.9903846153846154
LGBM_DART,classification,jaccard,0.9807692307692307
QDA,classification,accuracy,
QDA,classification,precision,
QDA,classification,recall,
QDA,classification,f1,
QDA,classification,train_time,
QDA,classification,predict_time,
QDA,classification,logloss,
QDA,classification,shscore,
QDA,classification,roc_auc,
QDA,classification,balanced_accuracy,
QDA,classification,jaccard,
