model,output,metric,value
SVC,classification,accuracy,1.0
SVC,classification,precision,1.0
SVC,classification,recall,1.0
SVC,classification,f1,1.0
SVC,classification,train_time,62777916279.0
SVC,classification,predict_time,9845250.0
SVC,classification,logloss,0.1216086227070281
SVC,classification,shscore,0.9677910088285774
SVC,classification,roc_auc,1.0
SVC,classification,balanced_accuracy,1.0
SVC,classification,jaccard,1.0
GradientBoosting,classification,accuracy,0.85
GradientBoosting,classification,precision,0.9
GradientBoosting,classification,recall,0.8181818181818182
GradientBoosting,classification,f1,0.8571428571428572
GradientBoosting,classification,train_time,60748952278.0
GradientBoosting,classification,predict_time,790167.0
GradientBoosting,classification,logloss,1.5667123512705472
GradientBoosting,classification,shscore,0.0213742904213833
GradientBoosting,classification,roc_auc,0.8535353535353535
GradientBoosting,classification,balanced_accuracy,0.8535353535353536
GradientBoosting,classification,jaccard,0.75
GaussianNB,classification,accuracy,0.9
GaussianNB,classification,precision,1.0
GaussianNB,classification,recall,0.8181818181818182
GaussianNB,classification,f1,0.9
GaussianNB,classification,train_time,36642680475.0
GaussianNB,classification,predict_time,779458.0
GaussianNB,classification,logloss,3.604365338911715
GaussianNB,classification,shscore,0.0456214992181416
GaussianNB,classification,roc_auc,0.9090909090909092
GaussianNB,classification,balanced_accuracy,0.9090909090909092
GaussianNB,classification,jaccard,0.8181818181818182
DecisionTree,classification,accuracy,0.85
DecisionTree,classification,precision,0.9
DecisionTree,classification,recall,0.8181818181818182
DecisionTree,classification,f1,0.8571428571428572
DecisionTree,classification,train_time,30389506264.0
DecisionTree,classification,predict_time,487084.0
DecisionTree,classification,logloss,5.406548008367573
DecisionTree,classification,shscore,-1.30605474864179
DecisionTree,classification,roc_auc,0.8535353535353535
DecisionTree,classification,balanced_accuracy,0.8535353535353536
DecisionTree,classification,jaccard,0.75
KNeighbors,classification,accuracy,0.9
KNeighbors,classification,precision,1.0
KNeighbors,classification,recall,0.8181818181818182
KNeighbors,classification,f1,0.9
KNeighbors,classification,train_time,29100169930.0
KNeighbors,classification,predict_time,45311959.0
KNeighbors,classification,logloss,0.1435711437983945
KNeighbors,classification,shscore,0.8731981231413102
KNeighbors,classification,roc_auc,0.9090909090909092
KNeighbors,classification,balanced_accuracy,0.9090909090909092
KNeighbors,classification,jaccard,0.8181818181818182
AdaBoost,classification,accuracy,1.0
AdaBoost,classification,precision,1.0
AdaBoost,classification,recall,1.0
AdaBoost,classification,f1,1.0
AdaBoost,classification,train_time,30743187972.0
AdaBoost,classification,predict_time,11062417.0
AdaBoost,classification,logloss,0.0324165162949524
AdaBoost,classification,shscore,0.9914489481068404
AdaBoost,classification,roc_auc,1.0
AdaBoost,classification,balanced_accuracy,1.0
AdaBoost,classification,jaccard,1.0
RandomForest,classification,accuracy,1.0
RandomForest,classification,precision,1.0
RandomForest,classification,recall,1.0
RandomForest,classification,f1,1.0
RandomForest,classification,train_time,36089779641.0
RandomForest,classification,predict_time,36431833.0
RandomForest,classification,logloss,0.1253188105639232
RandomForest,classification,shscore,0.9528561858365447
RandomForest,classification,roc_auc,1.0
RandomForest,classification,balanced_accuracy,1.0
RandomForest,classification,jaccard,1.0
MLP,classification,accuracy,0.95
MLP,classification,precision,1.0
MLP,classification,recall,0.9090909090909092
MLP,classification,f1,0.9523809523809524
MLP,classification,train_time,610930493318.0
MLP,classification,predict_time,940959.0
MLP,classification,logloss,0.0864930480360438
MLP,classification,shscore,0.9186988769617682
MLP,classification,roc_auc,0.9545454545454546
MLP,classification,balanced_accuracy,0.9545454545454546
MLP,classification,jaccard,0.9090909090909092
CatBoost,classification,accuracy,0.9
CatBoost,classification,precision,0.9090909090909092
CatBoost,classification,recall,0.9090909090909092
CatBoost,classification,f1,0.9090909090909092
CatBoost,classification,train_time,84419386996.0
CatBoost,classification,predict_time,1279125.0
CatBoost,classification,logloss,0.4029069193844417
CatBoost,classification,shscore,0.7154782591554207
CatBoost,classification,roc_auc,0.898989898989899
CatBoost,classification,balanced_accuracy,0.898989898989899
CatBoost,classification,jaccard,0.8333333333333334
ExtraTrees,classification,accuracy,0.95
ExtraTrees,classification,precision,1.0
ExtraTrees,classification,recall,0.9090909090909092
ExtraTrees,classification,f1,0.9523809523809524
ExtraTrees,classification,train_time,35767006350.0
ExtraTrees,classification,predict_time,144309958.0
ExtraTrees,classification,logloss,0.127531710256523
ExtraTrees,classification,shscore,0.9092054199371732
ExtraTrees,classification,roc_auc,0.9545454545454546
ExtraTrees,classification,balanced_accuracy,0.9545454545454546
ExtraTrees,classification,jaccard,0.9090909090909092
Dummy,classification,accuracy,0.35
Dummy,classification,precision,0.4285714285714285
Dummy,classification,recall,0.5454545454545454
Dummy,classification,f1,0.4799999999999999
Dummy,classification,train_time,17480376340.0
Dummy,classification,predict_time,69041.0
Dummy,classification,logloss,0.6931471805599453
Dummy,classification,shscore,-0.0092055213026552
Dummy,classification,roc_auc,0.3282828282828283
Dummy,classification,balanced_accuracy,0.3282828282828283
Dummy,classification,jaccard,0.3157894736842105
HGB,classification,accuracy,0.95
HGB,classification,precision,0.9166666666666666
HGB,classification,recall,1.0
HGB,classification,f1,0.9565217391304348
HGB,classification,train_time,212311820806.0
HGB,classification,predict_time,270859500.0
HGB,classification,logloss,0.2441535758117269
HGB,classification,shscore,0.7647803139248504
HGB,classification,roc_auc,0.9444444444444444
HGB,classification,balanced_accuracy,0.9444444444444444
HGB,classification,jaccard,0.9166666666666666
LGBM,classification,accuracy,1.0
LGBM,classification,precision,1.0
LGBM,classification,recall,1.0
LGBM,classification,f1,1.0
LGBM,classification,train_time,102632401130.0
LGBM,classification,predict_time,5175584.0
LGBM,classification,logloss,0.0028792205062474
LGBM,classification,shscore,0.9991101681532818
LGBM,classification,roc_auc,1.0
LGBM,classification,balanced_accuracy,1.0
LGBM,classification,jaccard,1.0
XGB,classification,accuracy,0.95
XGB,classification,precision,1.0
XGB,classification,recall,0.9090909090909092
XGB,classification,f1,0.9523809523809524
XGB,classification,train_time,70483341740.0
XGB,classification,predict_time,11388125.0
XGB,classification,logloss,0.1042387005193671
XGB,classification,shscore,0.9186584649609096
XGB,classification,roc_auc,0.9545454545454546
XGB,classification,balanced_accuracy,0.9545454545454546
XGB,classification,jaccard,0.9090909090909092
ExtraTree,classification,accuracy,0.85
ExtraTree,classification,precision,1.0
ExtraTree,classification,recall,0.7272727272727273
ExtraTree,classification,f1,0.8421052631578948
ExtraTree,classification,train_time,20215031967.0
ExtraTree,classification,predict_time,2253667.0
ExtraTree,classification,logloss,0.3164577650294632
ExtraTree,classification,shscore,0.7459670339820451
ExtraTree,classification,roc_auc,0.8636363636363636
ExtraTree,classification,balanced_accuracy,0.8636363636363636
ExtraTree,classification,jaccard,0.7272727272727273
SVC,classification,accuracy,1.0
SVC,classification,precision,1.0
SVC,classification,recall,1.0
SVC,classification,f1,1.0
SVC,classification,train_time,62433992820.0
SVC,classification,predict_time,2082166.0
SVC,classification,logloss,0.0135437651217186
SVC,classification,shscore,0.9931048221617268
SVC,classification,roc_auc,1.0
SVC,classification,balanced_accuracy,1.0
SVC,classification,jaccard,1.0
GradientBoosting,classification,accuracy,1.0
GradientBoosting,classification,precision,1.0
GradientBoosting,classification,recall,1.0
GradientBoosting,classification,f1,1.0
GradientBoosting,classification,train_time,64386981738.0
GradientBoosting,classification,predict_time,2695625.0
GradientBoosting,classification,logloss,4.403114660383141e-09
GradientBoosting,classification,shscore,0.9999999979663508
GradientBoosting,classification,roc_auc,1.0
GradientBoosting,classification,balanced_accuracy,1.0
