model,output,metric,value
SVC,classification,accuracy,1.0
SVC,classification,precision,1.0
SVC,classification,recall,1.0
SVC,classification,f1,1.0
SVC,classification,train_time,60987021611.0
SVC,classification,predict_time,946000.0
SVC,classification,logloss,0.027327121955319167
SVC,classification,shscore,0.9841590443660523
SVC,classification,roc_auc,1.0
SVC,classification,balanced_accuracy,1.0
SVC,classification,jaccard,1.0
GradientBoosting,classification,accuracy,1.0
GradientBoosting,classification,precision,1.0
GradientBoosting,classification,recall,1.0
GradientBoosting,classification,f1,1.0
GradientBoosting,classification,train_time,65769531531.0
GradientBoosting,classification,predict_time,1981000.0
GradientBoosting,classification,logloss,9.407339701148435e-09
GradientBoosting,classification,shscore,0.9999999954990746
GradientBoosting,classification,roc_auc,1.0
GradientBoosting,classification,balanced_accuracy,1.0
GradientBoosting,classification,jaccard,1.0
GaussianNB,classification,accuracy,1.0
GaussianNB,classification,precision,1.0
GaussianNB,classification,recall,1.0
GaussianNB,classification,f1,1.0
GaussianNB,classification,train_time,34144443516.0
GaussianNB,classification,predict_time,1805666.0
GaussianNB,classification,logloss,2.2204460492503136e-16
GaussianNB,classification,shscore,0.9999999999999996
GaussianNB,classification,roc_auc,1.0
GaussianNB,classification,balanced_accuracy,1.0
GaussianNB,classification,jaccard,1.0
DecisionTree,classification,accuracy,1.0
DecisionTree,classification,precision,1.0
DecisionTree,classification,recall,1.0
DecisionTree,classification,f1,1.0
DecisionTree,classification,train_time,28615374346.0
DecisionTree,classification,predict_time,477166.0
DecisionTree,classification,logloss,2.2204460492503136e-16
DecisionTree,classification,shscore,0.9999999999999996
DecisionTree,classification,roc_auc,1.0
DecisionTree,classification,balanced_accuracy,1.0
DecisionTree,classification,jaccard,1.0
KNeighbors,classification,accuracy,1.0
KNeighbors,classification,precision,1.0
KNeighbors,classification,recall,1.0
KNeighbors,classification,f1,1.0
KNeighbors,classification,train_time,29443173972.0
KNeighbors,classification,predict_time,23279417.0
KNeighbors,classification,logloss,0.05001600333240321
KNeighbors,classification,shscore,0.9874959991668989
KNeighbors,classification,roc_auc,1.0
KNeighbors,classification,balanced_accuracy,1.0
KNeighbors,classification,jaccard,1.0
AdaBoost,classification,accuracy,1.0
AdaBoost,classification,precision,1.0
AdaBoost,classification,recall,1.0
AdaBoost,classification,f1,1.0
AdaBoost,classification,train_time,28912290013.0
AdaBoost,classification,predict_time,21779750.0
AdaBoost,classification,logloss,3.069673314942756e-06
AdaBoost,classification,shscore,0.9999982945070454
AdaBoost,classification,roc_auc,1.0
AdaBoost,classification,balanced_accuracy,1.0
AdaBoost,classification,jaccard,1.0
RandomForest,classification,accuracy,1.0
RandomForest,classification,precision,1.0
RandomForest,classification,recall,1.0
RandomForest,classification,f1,1.0
RandomForest,classification,train_time,34431217974.0
RandomForest,classification,predict_time,104360000.0
RandomForest,classification,logloss,0.08977172015614598
RandomForest,classification,shscore,0.9623898245257996
RandomForest,classification,roc_auc,1.0
RandomForest,classification,balanced_accuracy,1.0
RandomForest,classification,jaccard,1.0
MLP,classification,accuracy,1.0
MLP,classification,precision,1.0
MLP,classification,recall,1.0
MLP,classification,f1,1.0
MLP,classification,train_time,620216538322.0
MLP,classification,predict_time,1260458.0
MLP,classification,logloss,0.010115107272516244
MLP,classification,shscore,0.9936127266786681
MLP,classification,roc_auc,1.0
MLP,classification,balanced_accuracy,1.0
MLP,classification,jaccard,1.0
CatBoost,classification,accuracy,1.0
CatBoost,classification,precision,1.0
CatBoost,classification,recall,1.0
CatBoost,classification,f1,1.0
CatBoost,classification,train_time,69160107740.0
CatBoost,classification,predict_time,1516917.0
CatBoost,classification,logloss,0.002190958751498532
CatBoost,classification,shscore,0.9993669870228483
CatBoost,classification,roc_auc,1.0
CatBoost,classification,balanced_accuracy,1.0
CatBoost,classification,jaccard,1.0
ExtraTrees,classification,accuracy,1.0
ExtraTrees,classification,precision,1.0
ExtraTrees,classification,recall,1.0
ExtraTrees,classification,f1,1.0
ExtraTrees,classification,train_time,35647453932.0
ExtraTrees,classification,predict_time,146513958.0
ExtraTrees,classification,logloss,0.04540946030192615
ExtraTrees,classification,shscore,0.9825957470510185
ExtraTrees,classification,roc_auc,1.0
ExtraTrees,classification,balanced_accuracy,1.0
ExtraTrees,classification,jaccard,1.0
Dummy,classification,accuracy,0.3
Dummy,classification,precision,0.5
Dummy,classification,recall,0.2857142857142857
Dummy,classification,f1,0.36363636363636365
Dummy,classification,train_time,19402395884.0
Dummy,classification,predict_time,63750.0
Dummy,classification,logloss,0.6931471805599453
Dummy,classification,shscore,0.037892642927537135
Dummy,classification,roc_auc,0.30952380952380953
Dummy,classification,balanced_accuracy,0.30952380952380953
Dummy,classification,jaccard,0.2222222222222222
HGB,classification,accuracy,1.0
HGB,classification,precision,1.0
HGB,classification,recall,1.0
HGB,classification,f1,1.0
HGB,classification,train_time,178229016665.0
HGB,classification,predict_time,178674667.0
HGB,classification,logloss,2.0478284518112408e-05
HGB,classification,shscore,0.9999902586994354
HGB,classification,roc_auc,1.0
HGB,classification,balanced_accuracy,1.0
HGB,classification,jaccard,1.0
LGBM,classification,accuracy,1.0
LGBM,classification,precision,1.0
LGBM,classification,recall,1.0
LGBM,classification,f1,1.0
LGBM,classification,train_time,70062338782.0
LGBM,classification,predict_time,1608209.0
LGBM,classification,logloss,2.5886340811074958e-05
LGBM,classification,shscore,0.9999895666192037
LGBM,classification,roc_auc,1.0
LGBM,classification,balanced_accuracy,1.0
LGBM,classification,jaccard,1.0
XGB,classification,accuracy,1.0
XGB,classification,precision,1.0
XGB,classification,recall,1.0
XGB,classification,f1,1.0
XGB,classification,train_time,68841607615.0
XGB,classification,predict_time,4246417.0
XGB,classification,logloss,0.024780190276115138
XGB,classification,shscore,0.9889206097951228
XGB,classification,roc_auc,1.0
XGB,classification,balanced_accuracy,1.0
XGB,classification,jaccard,1.0
ExtraTree,classification,accuracy,0.95
ExtraTree,classification,precision,1.0
ExtraTree,classification,recall,0.9285714285714286
ExtraTree,classification,f1,0.962962962962963
ExtraTree,classification,train_time,21350971051.0
ExtraTree,classification,predict_time,467125.0
ExtraTree,classification,logloss,1.802182669455858
ExtraTree,classification,shscore,0.5233673358799424
ExtraTree,classification,roc_auc,0.9642857142857143
ExtraTree,classification,balanced_accuracy,0.9642857142857143
ExtraTree,classification,jaccard,0.9285714285714286
