model,output,metric,value
SVC,classification,accuracy,0.975
SVC,classification,precision,1.0
SVC,classification,recall,0.9629629629629629
SVC,classification,f1,0.9811320754716981
SVC,classification,train_time,7276401836.0
SVC,classification,predict_time,4176542.0
SVC,classification,logloss,0.02721922789774376
SVC,classification,shscore,0.9490394704239917
SVC,classification,roc_auc,0.9814814814814814
SVC,classification,balanced_accuracy,0.9814814814814814
SVC,classification,jaccard,0.9629629629629629
GradientBoosting,classification,accuracy,1.0
GradientBoosting,classification,precision,1.0
GradientBoosting,classification,recall,1.0
GradientBoosting,classification,f1,1.0
GradientBoosting,classification,train_time,10253604380.0
GradientBoosting,classification,predict_time,1907042.0
GradientBoosting,classification,logloss,1.042926672234928e-05
GradientBoosting,classification,shscore,0.9999895707332777
GradientBoosting,classification,roc_auc,1.0
GradientBoosting,classification,balanced_accuracy,1.0
GradientBoosting,classification,jaccard,1.0
GaussianNB,classification,accuracy,0.975
GaussianNB,classification,precision,1.0
GaussianNB,classification,recall,0.9629629629629629
GaussianNB,classification,f1,0.9811320754716981
GaussianNB,classification,train_time,5013233086.0
GaussianNB,classification,predict_time,908000.0
GaussianNB,classification,logloss,0.901091334727929
GaussianNB,classification,shscore,0.9512586983217346
GaussianNB,classification,roc_auc,0.9814814814814814
GaussianNB,classification,balanced_accuracy,0.9814814814814814
GaussianNB,classification,jaccard,0.9629629629629629
DecisionTree,classification,accuracy,0.95
DecisionTree,classification,precision,0.9629629629629629
DecisionTree,classification,recall,0.9629629629629629
DecisionTree,classification,f1,0.9629629629629629
DecisionTree,classification,train_time,8339313336.0
DecisionTree,classification,predict_time,509208.0
DecisionTree,classification,logloss,1.3689656816058922
DecisionTree,classification,shscore,0.8881912635059435
DecisionTree,classification,roc_auc,0.9430199430199431
DecisionTree,classification,balanced_accuracy,0.9430199430199431
DecisionTree,classification,jaccard,0.9285714285714286
KNeighbors,classification,accuracy,0.925
KNeighbors,classification,precision,1.0
KNeighbors,classification,recall,0.8888888888888888
KNeighbors,classification,f1,0.9411764705882353
KNeighbors,classification,train_time,9422868879.0
KNeighbors,classification,predict_time,63645125.0
KNeighbors,classification,logloss,0.9746281388522237
KNeighbors,classification,shscore,0.8394197707767995
