model,output,metric,value
DecisionTree,Risk,accuracy,0.925531914893617
DecisionTree,Risk,precision,1.0
DecisionTree,Risk,recall,0.125
DecisionTree,Risk,f1,0.2222222222222222
DecisionTree,Risk,train_time,2328463503308.0
DecisionTree,Risk,predict_time,554500.0
DecisionTree,Risk,logloss,0.3027288232921256
DecisionTree,Risk,shscore,0.41852106335212275
DecisionTree,Risk,roc_auc,0.5625
DecisionTree,Risk,balanced_accuracy,0.5625
DecisionTree,Risk,jaccard,0.125
MLP,Risk,accuracy,0.9148936170212766
MLP,Risk,precision,0.0
MLP,Risk,recall,0.0
MLP,Risk,f1,0.0
MLP,Risk,train_time,2059330136733.0
MLP,Risk,predict_time,6308208.0
MLP,Risk,logloss,0.31820215590642087
MLP,Risk,shscore,0.24313425564916463
MLP,Risk,roc_auc,0.5
MLP,Risk,balanced_accuracy,0.5
MLP,Risk,jaccard,0.0
LGBM_GBDT,Risk,accuracy,0.9148936170212766
LGBM_GBDT,Risk,precision,0.0
LGBM_GBDT,Risk,recall,0.0
LGBM_GBDT,Risk,f1,0.0
LGBM_GBDT,Risk,train_time,2248902340529.0
LGBM_GBDT,Risk,predict_time,1896792.0
LGBM_GBDT,Risk,logloss,0.3009871847589661
LGBM_GBDT,Risk,shscore,0.25533511917210183
LGBM_GBDT,Risk,roc_auc,0.5
LGBM_GBDT,Risk,balanced_accuracy,0.5
LGBM_GBDT,Risk,jaccard,0.0
LGBM_DART,Risk,accuracy,0.9148936170212766
LGBM_DART,Risk,precision,0.0
LGBM_DART,Risk,recall,0.0
LGBM_DART,Risk,f1,0.0
LGBM_DART,Risk,train_time,2573527943752.0
LGBM_DART,Risk,predict_time,1291000.0
LGBM_DART,Risk,logloss,0.32234410383974976
LGBM_DART,Risk,shscore,0.2299370710590532
LGBM_DART,Risk,roc_auc,0.5
LGBM_DART,Risk,balanced_accuracy,0.5
LGBM_DART,Risk,jaccard,0.0
QDA,Risk,accuracy,0.9148936170212766
QDA,Risk,precision,0.0
QDA,Risk,recall,0.0
QDA,Risk,f1,0.0
QDA,Risk,train_time,938691199344.0
QDA,Risk,predict_time,776459.0
QDA,Risk,logloss,0.32587030794883426
QDA,Risk,shscore,0.2118672045823234
QDA,Risk,roc_auc,0.5
QDA,Risk,balanced_accuracy,0.5
QDA,Risk,jaccard,0.0
