model,output,metric,value
SVC,Risk,accuracy,0.75
SVC,Risk,precision,0.0
SVC,Risk,recall,0.0
SVC,Risk,f1,0.0
SVC,Risk,train_time,37172566976.0
SVC,Risk,predict_time,4091709.0
SVC,Risk,logloss,0.6174104190444245
SVC,Risk,shscore,0.256166548265243
SVC,Risk,roc_auc,0.5
SVC,Risk,balanced_accuracy,0.5
SVC,Risk,jaccard,0.0
GradientBoosting,Risk,accuracy,0.7
GradientBoosting,Risk,precision,0.0
GradientBoosting,Risk,recall,0.0
GradientBoosting,Risk,f1,0.0
GradientBoosting,Risk,train_time,35959326851.0
GradientBoosting,Risk,predict_time,856416.0
GradientBoosting,Risk,logloss,4.48287784025419
GradientBoosting,Risk,shscore,-0.9236682649239745
GradientBoosting,Risk,roc_auc,0.4666666666666667
GradientBoosting,Risk,balanced_accuracy,0.4666666666666667
GradientBoosting,Risk,jaccard,0.0
GaussianNB,Risk,accuracy,0.4
GaussianNB,Risk,precision,0.18181818181818182
GaussianNB,Risk,recall,0.4
GaussianNB,Risk,f1,0.25000000000000006
GaussianNB,Risk,train_time,27742514304.0
GaussianNB,Risk,predict_time,495917.0
GaussianNB,Risk,logloss,21.62619203347029
GaussianNB,Risk,shscore,-12.546513910774925
GaussianNB,Risk,roc_auc,0.39999999999999997
GaussianNB,Risk,balanced_accuracy,0.4
GaussianNB,Risk,jaccard,0.14285714285714285
DecisionTree,Risk,accuracy,0.75
DecisionTree,Risk,precision,0.0
DecisionTree,Risk,recall,0.0
DecisionTree,Risk,f1,0.0
DecisionTree,Risk,train_time,34106405182.0
DecisionTree,Risk,predict_time,1173959.0
DecisionTree,Risk,logloss,2.1607687106966877
DecisionTree,Risk,shscore,-0.07819198308513498
DecisionTree,Risk,roc_auc,0.5
DecisionTree,Risk,balanced_accuracy,0.5
DecisionTree,Risk,jaccard,0.0
KNeighbors,Risk,accuracy,0.65
KNeighbors,Risk,precision,0.25
KNeighbors,Risk,recall,0.2
KNeighbors,Risk,f1,0.22222222222222224
KNeighbors,Risk,train_time,28855357304.0
KNeighbors,Risk,predict_time,43617000.0
KNeighbors,Risk,logloss,5.815091408368375
KNeighbors,Risk,shscore,-1.0458321503724937
KNeighbors,Risk,roc_auc,0.5
KNeighbors,Risk,balanced_accuracy,0.5
KNeighbors,Risk,jaccard,0.125
AdaBoost,Risk,accuracy,0.75
AdaBoost,Risk,precision,0.0
AdaBoost,Risk,recall,0.0
AdaBoost,Risk,f1,0.0
AdaBoost,Risk,train_time,29978162472.0
AdaBoost,Risk,predict_time,2890125.0
AdaBoost,Risk,logloss,0.6077948222918843
AdaBoost,Risk,shscore,0.20475416615679926
AdaBoost,Risk,roc_auc,0.5
AdaBoost,Risk,balanced_accuracy,0.5
AdaBoost,Risk,jaccard,0.0
RandomForest,Risk,accuracy,0.75
RandomForest,Risk,precision,0.0
RandomForest,Risk,recall,0.0
RandomForest,Risk,f1,0.0
RandomForest,Risk,train_time,35632973850.0
RandomForest,Risk,predict_time,57799458.0
RandomForest,Risk,logloss,0.7164020570718901
RandomForest,Risk,shscore,0.21226118531046523
RandomForest,Risk,roc_auc,0.5
RandomForest,Risk,balanced_accuracy,0.5
RandomForest,Risk,jaccard,0.0
MLP,Risk,accuracy,0.7
MLP,Risk,precision,0.0
MLP,Risk,recall,0.0
MLP,Risk,f1,0.0
MLP,Risk,train_time,30711382181.0
MLP,Risk,predict_time,654125.0
MLP,Risk,logloss,0.9948139296180036
MLP,Risk,shscore,0.12242380439153094
MLP,Risk,roc_auc,0.4666666666666667
MLP,Risk,balanced_accuracy,0.4666666666666667
MLP,Risk,jaccard,0.0
CatBoost,Risk,accuracy,0.75
CatBoost,Risk,precision,0.0
CatBoost,Risk,recall,0.0
CatBoost,Risk,f1,0.0
CatBoost,Risk,train_time,65537104446.0
CatBoost,Risk,predict_time,14430208.0
CatBoost,Risk,logloss,1.473585112359044
CatBoost,Risk,shscore,0.09034712315176513
CatBoost,Risk,roc_auc,0.5
CatBoost,Risk,balanced_accuracy,0.5
CatBoost,Risk,jaccard,0.0
ExtraTrees,Risk,accuracy,0.8
ExtraTrees,Risk,precision,1.0
ExtraTrees,Risk,recall,0.2
ExtraTrees,Risk,f1,0.33333333333333337
ExtraTrees,Risk,train_time,33969900640.0
ExtraTrees,Risk,predict_time,128479541.0
ExtraTrees,Risk,logloss,0.858940856302026
ExtraTrees,Risk,shscore,0.3758171726275482
ExtraTrees,Risk,roc_auc,0.6
ExtraTrees,Risk,balanced_accuracy,0.6
ExtraTrees,Risk,jaccard,0.2
Dummy,Risk,accuracy,0.45
Dummy,Risk,precision,0.125
Dummy,Risk,recall,0.2
Dummy,Risk,f1,0.15384615384615385
Dummy,Risk,train_time,20390662426.0
Dummy,Risk,predict_time,77458.0
Dummy,Risk,logloss,0.6931471805599453
Dummy,Risk,shscore,-0.05966917730483612
Dummy,Risk,roc_auc,0.3666666666666667
Dummy,Risk,balanced_accuracy,0.3666666666666667
Dummy,Risk,jaccard,0.08333333333333333
HGB,Risk,accuracy,0.7
HGB,Risk,precision,0.0
HGB,Risk,recall,0.0
HGB,Risk,f1,0.0
HGB,Risk,train_time,435966615991.0
HGB,Risk,predict_time,791771208.0
HGB,Risk,logloss,2.732519417675081
HGB,Risk,shscore,-0.2866968378354514
HGB,Risk,roc_auc,0.4666666666666667
HGB,Risk,balanced_accuracy,0.4666666666666667
HGB,Risk,jaccard,0.0
LGBM,Risk,accuracy,0.75
LGBM,Risk,precision,0.0
LGBM,Risk,recall,0.0
LGBM,Risk,f1,0.0
LGBM,Risk,train_time,117180145596.0
LGBM,Risk,predict_time,2570959.0
LGBM,Risk,logloss,2.82419945257712
LGBM,Risk,shscore,-0.2451320586366439
LGBM,Risk,roc_auc,0.5
LGBM,Risk,balanced_accuracy,0.5
LGBM,Risk,jaccard,0.0
XGB,Risk,accuracy,0.75
XGB,Risk,precision,0.0
XGB,Risk,recall,0.0
XGB,Risk,f1,0.0
XGB,Risk,train_time,107783088632.0
XGB,Risk,predict_time,6047792.0
XGB,Risk,logloss,1.047135038731923
XGB,Risk,shscore,0.18363311650785935
XGB,Risk,roc_auc,0.5
XGB,Risk,balanced_accuracy,0.5
XGB,Risk,jaccard,0.0
ExtraTree,Risk,accuracy,0.75
ExtraTree,Risk,precision,0.5
ExtraTree,Risk,recall,0.2
ExtraTree,Risk,f1,0.28571428571428575
ExtraTree,Risk,train_time,20109710885.0
ExtraTree,Risk,predict_time,417167.0
ExtraTree,Risk,logloss,7.389315168594571
ExtraTree,Risk,shscore,-2.1051277423863257
ExtraTree,Risk,roc_auc,0.5666666666666667
ExtraTree,Risk,balanced_accuracy,0.5666666666666667
ExtraTree,Risk,jaccard,0.16666666666666666
