model,output,metric,value
SVC,Risk,accuracy,0.7127659574468085
SVC,Risk,precision,0.125
SVC,Risk,recall,0.1333333333333333
SVC,Risk,f1,0.1290322580645161
SVC,Risk,train_time,19144308175.0
SVC,Risk,predict_time,8795292.0
SVC,Risk,logloss,0.4402878458741106
SVC,Risk,shscore,0.1867044489939509
SVC,Risk,roc_auc,0.4780590717299577
SVC,Risk,balanced_accuracy,0.4780590717299578
SVC,Risk,jaccard,0.0689655172413793
GradientBoosting,Risk,accuracy,0.8191489361702128
GradientBoosting,Risk,precision,0.25
GradientBoosting,Risk,recall,0.0666666666666666
GradientBoosting,Risk,f1,0.1052631578947368
GradientBoosting,Risk,train_time,19044940133.0
GradientBoosting,Risk,predict_time,17727959.0
GradientBoosting,Risk,logloss,1.959323415764808
GradientBoosting,Risk,shscore,0.3293452391510346
GradientBoosting,Risk,roc_auc,0.5143459915611814
GradientBoosting,Risk,balanced_accuracy,0.5143459915611814
GradientBoosting,Risk,jaccard,0.0555555555555555
GaussianNB,Risk,accuracy,0.2127659574468085
GaussianNB,Risk,precision,0.160919540229885
GaussianNB,Risk,recall,0.9333333333333332
GaussianNB,Risk,f1,0.2745098039215686
GaussianNB,Risk,train_time,11636737672.0
GaussianNB,Risk,predict_time,4191792.0
GaussianNB,Risk,logloss,8.191363469695672
GaussianNB,Risk,shscore,-0.2813438617335565
GaussianNB,Risk,roc_auc,0.5046413502109705
GaussianNB,Risk,balanced_accuracy,0.5046413502109705
GaussianNB,Risk,jaccard,0.1590909090909091
DecisionTree,Risk,accuracy,0.8404255319148937
DecisionTree,Risk,precision,0.5
DecisionTree,Risk,recall,0.0666666666666666
DecisionTree,Risk,f1,0.1176470588235294
DecisionTree,Risk,train_time,17454918591.0
DecisionTree,Risk,predict_time,547125.0
DecisionTree,Risk,logloss,3.672676303393567
DecisionTree,Risk,shscore,0.2976136292640823
DecisionTree,Risk,roc_auc,0.5270042194092828
DecisionTree,Risk,balanced_accuracy,0.5270042194092828
DecisionTree,Risk,jaccard,0.0625
KNeighbors,Risk,accuracy,0.8404255319148937
KNeighbors,Risk,precision,0.0
KNeighbors,Risk,recall,0.0
KNeighbors,Risk,f1,0.0
KNeighbors,Risk,train_time,20637242260.0
KNeighbors,Risk,predict_time,74524709.0
KNeighbors,Risk,logloss,1.861912885691804
KNeighbors,Risk,shscore,0.2086519647877976
KNeighbors,Risk,roc_auc,0.5
KNeighbors,Risk,balanced_accuracy,0.5
KNeighbors,Risk,jaccard,0.0
AdaBoost,Risk,accuracy,0.8404255319148937
AdaBoost,Risk,precision,0.0
AdaBoost,Risk,recall,0.0
AdaBoost,Risk,f1,0.0
AdaBoost,Risk,train_time,31066794389.0
AdaBoost,Risk,predict_time,10992584.0
AdaBoost,Risk,logloss,0.4397823808889843
AdaBoost,Risk,shscore,0.1769691249829283
AdaBoost,Risk,roc_auc,0.5
AdaBoost,Risk,balanced_accuracy,0.5
AdaBoost,Risk,jaccard,0.0
RandomForest,Risk,accuracy,0.8404255319148937
RandomForest,Risk,precision,0.0
RandomForest,Risk,recall,0.0
RandomForest,Risk,f1,0.0
RandomForest,Risk,train_time,35296727890.0
RandomForest,Risk,predict_time,48454250.0
RandomForest,Risk,logloss,0.428314465675204
RandomForest,Risk,shscore,0.2012077182791337
RandomForest,Risk,roc_auc,0.5
RandomForest,Risk,balanced_accuracy,0.5
RandomForest,Risk,jaccard,0.0
MLP,Risk,accuracy,0.8404255319148937
MLP,Risk,precision,0.0
MLP,Risk,recall,0.0
MLP,Risk,f1,0.0
MLP,Risk,train_time,2139930028725.0
MLP,Risk,predict_time,177365250.0
MLP,Risk,logloss,0.5084411893151953
MLP,Risk,shscore,0.1974066008405623
MLP,Risk,roc_auc,0.5
MLP,Risk,balanced_accuracy,0.5
MLP,Risk,jaccard,0.0
CatBoost,Risk,accuracy,0.8191489361702128
CatBoost,Risk,precision,0.0
CatBoost,Risk,recall,0.0
CatBoost,Risk,f1,0.0
CatBoost,Risk,train_time,118055637887.0
CatBoost,Risk,predict_time,951792.0
CatBoost,Risk,logloss,0.605262261046316
CatBoost,Risk,shscore,0.220869006524882
CatBoost,Risk,roc_auc,0.4873417721518987
CatBoost,Risk,balanced_accuracy,0.4873417721518987
CatBoost,Risk,jaccard,0.0
ExtraTrees,Risk,accuracy,0.851063829787234
ExtraTrees,Risk,precision,1.0
ExtraTrees,Risk,recall,0.0666666666666666
ExtraTrees,Risk,f1,0.125
ExtraTrees,Risk,train_time,29311871555.0
ExtraTrees,Risk,predict_time,45227041.0
