model,output,metric,value
SVC,Dataset,accuracy,0.7435897435897436
SVC,Dataset,balanced_accuracy,0.5
SVC,Dataset,precision,0.0
SVC,Dataset,recall,0.0
SVC,Dataset,f1,0.0
SVC,Dataset,train_time,9061938796.0
SVC,Dataset,predict_time,3265459.0
SVC,Dataset,logloss,0.5727499997013304
GradientBoosting,Dataset,accuracy,
GradientBoosting,Dataset,balanced_accuracy,
GradientBoosting,Dataset,precision,
GradientBoosting,Dataset,recall,
GradientBoosting,Dataset,f1,
GradientBoosting,Dataset,train_time,
GradientBoosting,Dataset,predict_time,
GradientBoosting,Dataset,logloss,
GaussianNB,Dataset,accuracy,
GaussianNB,Dataset,balanced_accuracy,
GaussianNB,Dataset,precision,
GaussianNB,Dataset,recall,
GaussianNB,Dataset,f1,
GaussianNB,Dataset,train_time,
GaussianNB,Dataset,predict_time,
GaussianNB,Dataset,logloss,
DecisionTree,Dataset,accuracy,
DecisionTree,Dataset,balanced_accuracy,
DecisionTree,Dataset,precision,
DecisionTree,Dataset,recall,
DecisionTree,Dataset,f1,
DecisionTree,Dataset,train_time,
DecisionTree,Dataset,predict_time,
DecisionTree,Dataset,logloss,
KNeighbors,Dataset,accuracy,0.7777777777777778
KNeighbors,Dataset,balanced_accuracy,0.6867816091954023
KNeighbors,Dataset,precision,0.5769230769230769
KNeighbors,Dataset,recall,0.5
KNeighbors,Dataset,f1,0.5357142857142857
KNeighbors,Dataset,train_time,6788115462.0
KNeighbors,Dataset,predict_time,33469542.0
KNeighbors,Dataset,logloss,0.4091876790416006
AdaBoost,Dataset,accuracy,0.7435897435897436
AdaBoost,Dataset,balanced_accuracy,0.5
AdaBoost,Dataset,precision,0.0
AdaBoost,Dataset,recall,0.0
AdaBoost,Dataset,f1,0.0
AdaBoost,Dataset,train_time,9603321005.0
AdaBoost,Dataset,predict_time,3006125.0
AdaBoost,Dataset,logloss,0.5143243283724557
RandomForest,Dataset,accuracy,0.7606837606837606
RandomForest,Dataset,balanced_accuracy,0.6097701149425288
RandomForest,Dataset,precision,0.5625
RandomForest,Dataset,recall,0.3
