,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_bins,param_max_depth,param_min_samples_leaf,param_n_estimators,param_num_leaves,param_scoring,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.010683298110961914,0.0047912248181617,0.0014561812082926433,0.00011749776743855857,0.5,32,3,2,50,127,recall,1e-07,"OrderedDict([('learning_rate', 0.5), ('max_bins', 32), ('max_depth', 3), ('min_samples_leaf', 2), ('n_estimators', 50), ('num_leaves', 127), ('scoring', 'recall'), ('tol', 1e-07)])",-0.09654743966722946,-0.15836564777910053,-0.14157823102176298,-0.13216377282269767,0.026100405244965215,13,-5.403476235515146e-06,-5.765343311832192e-06,-5.460886825291039e-06,-5.543235457546125e-06,1.587931949765149e-07,7
1,0.026855071385701496,0.028818723225215316,0.0014726320902506511,0.00016531543047087327,1.0,32,7,5,50,255,loss,1e-07,"OrderedDict([('learning_rate', 1.0), ('max_bins', 32), ('max_depth', 7), ('min_samples_leaf', 5), ('n_estimators', 50), ('num_leaves', 255), ('scoring', 'loss'), ('tol', 1e-07)])",-16.334391558882345,-1.3499510522328222,-2.303543122922706,-6.662628578012625,6.850040575447327,15,-15.283051475637,-1.352486508859501,-2.3624130667237737,-6.332650350406759,6.342304951144181,15
2,0.07061576843261719,0.022924369381443512,0.0019361178080240886,0.00017406519397357632,0.1,64,7,3,200,127,loss,1e-06,"OrderedDict([('learning_rate', 0.1), ('max_bins', 64), ('max_depth', 7), ('min_samples_leaf', 3), ('n_estimators', 200), ('num_leaves', 127), ('scoring', 'loss'), ('tol', 1e-06)])",-0.02632940368145633,-0.19399284644852485,-0.053339842572074386,-0.09122069756735185,0.07350272961601015,2,-6.473924242527186e-06,-5.564788759286133e-06,-5.755042292051578e-06,-5.931251764621633e-06,3.9150918711191476e-07,10
3,0.0740361213684082,0.03240381926375717,0.0019458929697672527,0.00010652096952590893,0.1,32,9,3,200,127,recall,1e-06,"OrderedDict([('learning_rate', 0.1), ('max_bins', 32), ('max_depth', 9), ('min_samples_leaf', 3), ('n_estimators', 200), ('num_leaves', 127), ('scoring', 'recall'), ('tol', 1e-06)])",-0.06331917966141838,-0.13355861888646964,-0.06649765458264201,-0.08779181771017668,0.032388019833872315,1,-6.216316669419526e-06,-6.185302998185305e-06,-5.832315454884371e-06,-6.077978374163067e-06,1.741707292328508e-07,11
4,0.032335758209228516,0.03526219239384917,0.001493374506632487,0.00019367899517579772,0.5,64,3,4,50,127,recall,1e-05,"OrderedDict([('learning_rate', 0.5), ('max_bins', 64), ('max_depth', 3), ('min_samples_leaf', 4), ('n_estimators', 50), ('num_leaves', 127), ('scoring', 'recall'), ('tol', 1e-05)])",-0.05790115861783486,-0.18326385614467194,-0.08352239386254223,-0.10822913620834967,0.05407876244150992,9,-5.631223047111238e-06,-5.40582990905757e-06,-5.850107108098476e-06,-5.629053354755761e-06,1.8138189558791185e-07,8
5,0.016153732935587566,0.002775487362009256,0.0016616980234781902,8.81848699503216e-05,0.5,64,7,5,100,127,loss,1e-07,"OrderedDict([('learning_rate', 0.5), ('max_bins', 64), ('max_depth', 7), ('min_samples_leaf', 5), ('n_estimators', 100), ('num_leaves', 127), ('scoring', 'loss'), ('tol', 1e-07)])",-0.06242436996692392,-0.19390197280420296,-0.08193226058996994,-0.11275286778703227,0.05793112222260748,11,-4.594411184615167e-06,-4.324727987120196e-06,-4.468477576243512e-06,-4.462538915992959e-06,1.1017775793978434e-07,4
6,0.018041610717773438,0.008112551002450874,0.0014747778574625652,0.00015434631939743464,0.5,32,7,3,50,255,recall,1e-06,"OrderedDict([('learning_rate', 0.5), ('max_bins', 32), ('max_depth', 7), ('min_samples_leaf', 3), ('n_estimators', 50), ('num_leaves', 255), ('scoring', 'recall'), ('tol', 1e-06)])",-0.08198265359659923,-0.14212967991371062,-0.10983995847763098,-0.11131743066264695,0.024577135536116276,10,-5.386254175493354e-06,-5.005289426283784e-06,-5.148594033972831e-06,-5.180045878583323e-06,1.5711025625788967e-07,6
7,0.036126295725504555,0.03038455836995716,0.0017014344533284504,0.00016859878267397077,0.5,64,9,2,100,127,loss,1e-06,"OrderedDict([('learning_rate', 0.5), ('max_bins', 64), ('max_depth', 9), ('min_samples_leaf', 2), ('n_estimators', 100), ('num_leaves', 127), ('scoring', 'loss'), ('tol', 1e-06)])",-0.060503035328968086,-0.19686202787871848,-0.10051063643935339,-0.11929189988234666,0.05723050238396804,12,-4.296822033487142e-06,-4.125859334552309e-06,-4.323157787975761e-06,-4.248613052005071e-06,8.746332317977811e-08,3
8,0.026939868927001953,0.017628010516592258,0.0016388893127441406,0.00013765667440066804,0.5,64,7,4,50,127,balanced_accuracy,1e-07,"OrderedDict([('learning_rate', 0.5), ('max_bins', 64), ('max_depth', 7), ('min_samples_leaf', 4), ('n_estimators', 50), ('num_leaves', 127), ('scoring', 'balanced_accuracy'), ('tol', 1e-07)])",-0.04748240484285207,-0.18884768591179915,-0.07545264083765221,-0.10392757719743446,0.061123657031986335,6,-5.513541880591446e-06,-4.254779240254857e-06,-4.864841319370587e-06,-4.8777208134056304e-06,5.139683889123493e-07,5
9,0.06052978833516439,0.04754900997817131,0.0015239715576171875,0.00021513468994564634,1.0,128,7,3,100,127,f1,1e-06,"OrderedDict([('learning_rate', 1.0), ('max_bins', 128), ('max_depth', 7), ('min_samples_leaf', 3), ('n_estimators', 100), ('num_leaves', 127), ('scoring', 'f1'), ('tol', 1e-06)])",-2.294915644487181,-2.4299108030368455,-0.5844773220206563,-1.769767923181561,0.8399370135544872,14,-2.366845374545652,-2.299221415926342,-3.792269479853535e-06,-1.5553568609138246,1.1001471495670845,14
