model,output,metric,value
SVC,binaryClass,accuracy,
SVC,binaryClass,precision,
SVC,binaryClass,recall,
SVC,binaryClass,f1,
SVC,binaryClass,train_time,
SVC,binaryClass,predict_time,
SVC,binaryClass,logloss,
SVC,binaryClass,balanced_accuracy,
GradientBoosting,binaryClass,accuracy,
GradientBoosting,binaryClass,precision,
GradientBoosting,binaryClass,recall,
GradientBoosting,binaryClass,f1,
GradientBoosting,binaryClass,train_time,
GradientBoosting,binaryClass,predict_time,
GradientBoosting,binaryClass,logloss,
GradientBoosting,binaryClass,balanced_accuracy,
GaussianNB,binaryClass,accuracy,
GaussianNB,binaryClass,precision,
GaussianNB,binaryClass,recall,
GaussianNB,binaryClass,f1,
GaussianNB,binaryClass,train_time,
GaussianNB,binaryClass,predict_time,
GaussianNB,binaryClass,logloss,
GaussianNB,binaryClass,balanced_accuracy,
DecisionTree,binaryClass,accuracy,
DecisionTree,binaryClass,precision,
DecisionTree,binaryClass,recall,
DecisionTree,binaryClass,f1,
DecisionTree,binaryClass,train_time,
DecisionTree,binaryClass,predict_time,
DecisionTree,binaryClass,logloss,
DecisionTree,binaryClass,balanced_accuracy,
KNeighbors,binaryClass,accuracy,0.975
KNeighbors,binaryClass,precision,0.9832402234636871
KNeighbors,binaryClass,recall,0.9887640449438202
KNeighbors,binaryClass,f1,0.9859943977591036
KNeighbors,binaryClass,train_time,978052834.0
KNeighbors,binaryClass,predict_time,32848084.0
KNeighbors,binaryClass,logloss,0.04940090330836038
KNeighbors,binaryClass,balanced_accuracy,0.9262002042900919
AdaBoost,binaryClass,accuracy,
AdaBoost,binaryClass,precision,
AdaBoost,binaryClass,recall,
AdaBoost,binaryClass,f1,
AdaBoost,binaryClass,train_time,
AdaBoost,binaryClass,predict_time,
AdaBoost,binaryClass,logloss,
AdaBoost,binaryClass,balanced_accuracy,
RandomForest,binaryClass,accuracy,
RandomForest,binaryClass,precision,
RandomForest,binaryClass,recall,
RandomForest,binaryClass,f1,
RandomForest,binaryClass,train_time,
RandomForest,binaryClass,predict_time,
RandomForest,binaryClass,logloss,
RandomForest,binaryClass,balanced_accuracy,
MLP,binaryClass,accuracy,0.975
MLP,binaryClass,precision,0.9832402234636871
MLP,binaryClass,recall,0.9887640449438202
MLP,binaryClass,f1,0.9859943977591036
MLP,binaryClass,train_time,144795052191.0
MLP,binaryClass,predict_time,2564666.0
MLP,binaryClass,logloss,0.05475684188130145
MLP,binaryClass,balanced_accuracy,0.9262002042900919
CatBoost,binaryClass,accuracy,0.985
CatBoost,binaryClass,precision,0.9943502824858758
CatBoost,binaryClass,recall,0.9887640449438202
CatBoost,binaryClass,f1,0.9915492957746479
CatBoost,binaryClass,train_time,14491258339.0
CatBoost,binaryClass,predict_time,762834.0
CatBoost,binaryClass,logloss,0.03355540838818905
CatBoost,binaryClass,balanced_accuracy,0.9716547497446374
ExtraTrees,binaryClass,accuracy,
ExtraTrees,binaryClass,precision,
ExtraTrees,binaryClass,recall,
ExtraTrees,binaryClass,f1,
ExtraTrees,binaryClass,train_time,
ExtraTrees,binaryClass,predict_time,
ExtraTrees,binaryClass,logloss,
ExtraTrees,binaryClass,balanced_accuracy,
Dummy,binaryClass,accuracy,
Dummy,binaryClass,precision,
Dummy,binaryClass,recall,
Dummy,binaryClass,f1,
Dummy,binaryClass,train_time,
Dummy,binaryClass,predict_time,
Dummy,binaryClass,logloss,
Dummy,binaryClass,balanced_accuracy,
HGB,binaryClass,accuracy,0.995
HGB,binaryClass,precision,0.994413407821229
HGB,binaryClass,recall,1.0
HGB,binaryClass,f1,0.9971988795518207
HGB,binaryClass,train_time,7565956254.0
HGB,binaryClass,predict_time,1177458.0
HGB,binaryClass,logloss,0.0632434353380852
HGB,binaryClass,balanced_accuracy,0.9772727272727273
LGBM_GBDT,binaryClass,accuracy,0.99
LGBM_GBDT,binaryClass,precision,0.9943820224719101
LGBM_GBDT,binaryClass,recall,0.9943820224719101
LGBM_GBDT,binaryClass,f1,0.9943820224719101
LGBM_GBDT,binaryClass,train_time,1891616626.0
LGBM_GBDT,binaryClass,predict_time,1210458.0
LGBM_GBDT,binaryClass,logloss,0.03629013090961752
LGBM_GBDT,binaryClass,balanced_accuracy,0.9744637385086823
LGBM_RF,binaryClass,accuracy,
LGBM_RF,binaryClass,precision,
LGBM_RF,binaryClass,recall,
LGBM_RF,binaryClass,f1,
LGBM_RF,binaryClass,train_time,
LGBM_RF,binaryClass,predict_time,
LGBM_RF,binaryClass,logloss,
LGBM_RF,binaryClass,balanced_accuracy,
LGBM_DART,binaryClass,accuracy,0.99
LGBM_DART,binaryClass,precision,0.9943820224719101
LGBM_DART,binaryClass,recall,0.9943820224719101
LGBM_DART,binaryClass,f1,0.9943820224719101
LGBM_DART,binaryClass,train_time,2417568251.0
LGBM_DART,binaryClass,predict_time,986750.0
LGBM_DART,binaryClass,logloss,0.040181951311969055
LGBM_DART,binaryClass,balanced_accuracy,0.9744637385086823
XGB_GBTREE,binaryClass,accuracy,1.0
XGB_GBTREE,binaryClass,precision,1.0
XGB_GBTREE,binaryClass,recall,1.0
XGB_GBTREE,binaryClass,f1,1.0
XGB_GBTREE,binaryClass,train_time,2300626876.0
XGB_GBTREE,binaryClass,predict_time,2367833.0
XGB_GBTREE,binaryClass,logloss,0.022181861246812113
XGB_GBTREE,binaryClass,balanced_accuracy,1.0
XGB_DART,binaryClass,accuracy,0.995
XGB_DART,binaryClass,precision,1.0
XGB_DART,binaryClass,recall,0.9943820224719101
XGB_DART,binaryClass,f1,0.9971830985915493
XGB_DART,binaryClass,train_time,28888040096.0
XGB_DART,binaryClass,predict_time,4078541.0
XGB_DART,binaryClass,logloss,0.022800151931251886
XGB_DART,binaryClass,balanced_accuracy,0.997191011235955
XGB_GBLINEAR,binaryClass,accuracy,
XGB_GBLINEAR,binaryClass,precision,
XGB_GBLINEAR,binaryClass,recall,
